Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 RICARDO J. ALFARO,XTRA RICARDO J. ALFARO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL FUERTE TOCUMEN,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,M/S CD,ABA EL CANGREJO/ BELLA VISTA,FRUTER÷A  MIMI,MINI MARKET ONLY,ABT. JUAN CARLOS - BETHANIA,M/S JANET - BETHANIA,ABT. ELENA - BETHANIA,M/S ESTELA - BETHANIA,M/S EL PROGRESO - PARQUE LEFEVRE,M/S EL CHEVERE - PARQUE LEFEVRE,ABT. PANAMµ VIEJO - PAR. LEFEVRE,M/S MAGIC PAN,ABA. LOS AMIGOS,M/S PUEBLO NUEVO,M/S ROSITA,M/S CHONSITO - PUEBLO NUEVO,M/S FUENTE DE ORO - SAN FCO,M/S ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,M/S PAN,ABT. LE‡N-SAN MIGUELITO,M/S FLORECIENTE,ABT. DENIA-SAN MIGUELITO,M/S - JIMMY LIAO,M/S - EXCELENTE -JUAN D÷AZ,M/S - JUAN D÷AZ,M/S JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,M/S PLAZA AMADOR,ABT EDITH- SANTA ANA,M/S EXPRESO-CALIDONIA,M/S ROY-CALIDONIA,M/S EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABA. BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES
Guineos *,1 Kilogramos,1.01,0.99,,1.15,0.99,0.99,0.99,0.99,0.97,0.99,0.99,0.99,0.99,0.99,0.82,0.82,0.99,0.99,0.99,0.99,0.99,1.01,0.99,0.99,0.99,0.94,0.95,0.99,0.95,0.99,0.99,0.99,0.93,0.97,0.91,0.98,0.95,,0.99,0.95,0.99,0.94,0.96,0.96,0.95,1.05,0.99,0.99,,0.90,0.92,1.21,1.10,1.21,,1.10,1.10,,1.10,1.10,,,,,1.10,1.10,,,,,,,1.10,1.10,,0.77,1.10,1.10,,,,,,1.10,1.10,1.10,,,0.86,0.99
Manzana Roja Mediana *,1 Unidades,,,0.45,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,0.35,,,0.35,,,,,,,,,,0.60,0.50,0.50,,0.50,0.50,,0.50,0.50,,0.60,0.50,,0.50,0.50,0.50,,,0.50,,,0.55,0.50,0.60,0.50,0.50,0.50,,,0.50,,0.50,0.50,0.50,,0.50,0.50,,0.40
Naranja de Jugo *,1 Kilogramos,,,0.95,0.95,,,0.90,0.90,,,,0.90,,0.90,0.88,0.88,,,,,,,,,,,,,,0.90,0.90,,,0.81,0.81,,0.84,,,,0.90,0.83,,,,0.90,,,0.81,0.79,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pi§a *,1 Kilogramos,0.87,,0.90,0.90,,1.05,0.85,1.05,,0.99,0.99,0.85,1.05,1.05,,,,0.85,,,,,,0.85,0.85,0.95,,,,1.05,1.05,0.85,,,,0.99,0.99,1.05,0.95,,,0.96,,,,0.85,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aceite Vegetal Nacional *,"1,42 Litros",3.80,2.75,3.75,3.75,2.75,2.59,2.59,2.65,2.54,3.49,2.65,2.59,2.65,2.65,2.57,2.53,2.75,2.59,2.59,2.75,3.39,3.80,2.75,2.65,2.65,3.09,2.65,2.75,2.55,2.59,2.65,2.65,2.63,2.55,2.63,2.65,2.65,2.65,3.39,2.75,3.55,3.09,3.67,4.18,3.89,3.99,3.99,3.99,2.53,1.94,2.53,,,4.65,,,,,,3.80,3.35,,3.50,,,,3.50,3.95,,,,,,,3.35,3.00,,,,,,,,,4.50,3.85,3.35,4.19,3.75,4.45
Margarina en barra*,1 Kilogramos,2.93,2.93,3.11,3.11,2.93,2.84,2.84,2.84,3.09,2.95,3.28,2.84,2.84,2.84,2.91,3.09,3.20,2.84,2.84,3.28,3.06,2.93,3.28,2.84,2.84,2.98,3.20,2.93,2.93,2.84,2.84,2.84,2.91,2.71,2.80,2.95,2.95,2.84,2.93,3.20,3.06,2.98,3.28,3.28,2.93,3.06,3.06,3.06,2.93,2.84,2.93,5.73,3.97,4.85,4.85,5.73,4.41,,4.41,4.41,5.29,4.41,4.41,,4.41,4.41,4.41,4.41,4.41,4.41,3.09,,4.41,4.41,4.85,,4.41,4.41,4.41,4.41,4.08,4.08,5.29,,,,,,3.06,3.20
Leche en Polvo entera instant†nea *,360 Gramos,3.76,3.32,3.76,3.76,3.31,2.35,2.35,3.23,3.23,2.95,2.98,2.35,2.35,2.35,2.93,2.93,3.55,2.35,2.35,3.55,3.55,3.76,3.32,2.35,2.35,2.98,2.95,3.55,3.31,2.35,2.35,2.35,3.23,2.96,2.96,2.95,2.95,2.35,3.76,3.31,3.25,2.98,2.95,2.95,3.31,3.25,3.25,3.55,2.96,2.93,2.96,,,3.76,,3.75,3.76,,3.76,3.76,,3.76,3.76,,,,3.76,3.76,,3.76,,,3.75,3.76,3.76,,3.76,3.76,,,,3.76,,3.76,3.75,3.76,3.75,3.25,3.35,3.76
Leche Evaporada *,167 Gramos,0.52,0.55,0.53,0.53,0.55,0.50,0.50,0.47,0.47,0.49,0.47,0.50,0.50,0.50,0.45,0.45,0.55,0.50,0.50,0.55,0.50,,0.55,0.50,0.50,0.55,0.47,0.55,0.49,0.50,0.50,0.50,0.47,0.47,0.45,0.46,0.46,0.50,0.72,0.68,0.50,0.55,0.47,0.47,0.55,0.50,0.50,0.50,0.45,0.41,0.47,0.80,,0.75,0.85,0.75,0.65,,0.60,0.75,0.75,0.60,0.75,0.75,0.65,0.70,0.75,0.75,0.70,0.75,0.75,0.73,0.75,0.70,0.60,0.60,0.60,0.60,0.75,0.55,0.65,0.75,0.85,0.55,0.70,0.75,0.70,0.55,0.49,0.60
Leche Fresca y Pasteurizada *,946 Mililitros,1.49,1.45,,1.49,1.49,1.40,1.40,1.38,1.38,1.35,1.45,1.40,1.40,1.40,1.43,1.43,1.42,1.40,1.40,1.45,1.40,1.55,1.44,1.40,1.40,1.40,1.32,1.45,1.42,1.40,1.40,1.40,1.43,1.38,1.43,1.29,1.29,1.29,1.40,1.42,1.35,1.40,1.35,1.35,1.42,1.45,1.40,1.35,1.33,,1.38,1.75,1.75,1.55,1.75,1.50,1.50,,1.60,1.60,1.65,1.55,1.55,1.60,1.50,1.65,1.55,1.65,,1.60,1.50,1.60,1.50,1.50,1.65,1.55,1.55,1.50,,1.50,1.50,1.65,1.65,1.50,1.50,1.50,1.35,1.50,1.35,1.60
Queso Amarillo *,1 Kilogramos,6.61,6.61,6.61,6.61,6.61,6.21,6.21,6.59,6.59,6.60,6.60,6.21,6.21,6.21,6.49,6.59,6.61,6.21,6.21,6.61,6.21,6.61,6.61,6.21,6.21,6.59,6.60,6.61,6.61,6.21,6.61,6.21,6.19,6.19,6.57,6.60,6.60,6.21,,6.61,5.99,6.59,,,,,6.21,6.21,6.61,,6.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.61,
Queso Blanco Prensado Bajo en Sal *,1 Kilogramos,14.87,12.25,11.45,14.30,15.85,11.99,11.99,11.46,11.46,11.75,11.75,11.99,11.99,11.49,11.72,11.03,15.45,11.75,,11.69,11.75,11.13,11.69,11.49,11.49,11.25,11.75,,15.85,11.75,11.99,11.99,11.66,10.96,11.03,11.49,11.05,,11.31,15.48,,,14.99,11.75,15.45,,11.49,14.99,11.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huevos Medianos de Gallina *,1 Docena,1.81,1.83,1.80,2.50,1.93,2.19,1.89,1.89,1.78,1.90,1.90,1.89,1.89,1.79,2.03,1.97,1.80,1.89,1.89,1.80,1.89,1.81,2.05,1.89,1.59,1.87,2.15,1.80,1.80,1.89,1.89,2.15,1.92,1.85,1.76,2.05,2.05,2.05,1.60,1.80,1.89,1.60,1.90,1.90,1.80,1.89,1.89,1.89,1.76,1.75,1.78,,,,3.00,2.40,2.40,,2.40,2.40,2.40,2.40,2.40,,2.40,1.92,1.92,2.40,2.40,,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,1.92,1.92,2.40,1.92,1.92,,,,,1.87,1.89,
Az£car Morena *,1 Kilogramos,1.65,1.23,1.45,1.45,1.23,1.48,1.48,1.48,1.26,1.37,1.37,1.48,1.30,1.48,1.17,1.10,1.23,1.48,1.30,1.23,1.43,1.65,1.23,1.23,1.48,1.23,1.37,1.23,1.23,1.48,1.48,1.45,1.37,1.28,1.17,1.37,1.37,1.30,,,,,,,,,,,1.33,1.15,1.17,1.88,1.88,,2.13,1.88,1.88,,1.88,1.88,1.88,1.88,1.88,,1.63,1.88,1.88,1.65,1.54,1.75,1.63,1.88,1.75,1.63,1.88,1.88,1.37,1.88,1.63,1.63,1.63,1.50,1.75,,,,1.63,,,
CafÇ Molido Tradicional *,425 Gramos,5.01,4.65,3.67,3.67,4.45,4.75,4.75,2.81,2.80,2.94,2.94,3.45,3.45,4.75,2.79,3.58,4.75,4.75,3.45,4.75,4.75,5.01,4.75,5.29,4.75,3.09,2.94,4.75,4.45,3.45,2.81,3.45,3.43,2.98,2.89,2.92,2.92,4.75,2.79,4.75,3.45,2.79,5.13,4.75,5.35,2.81,4.75,3.45,2.77,2.86,2.79,5.75,5.90,5.95,6.95,5.75,5.25,,,5.25,,,,5.50,,,,,5.60,,,,5.50,,5.75,5.25,5.00,,,,5.25,4.95,,5.35,5.50,5.35,5.95,2.99,2.99,4.55
Jugo de Naranja *,946 Mililitros,1.23,1.25,1.36,1.36,1.22,1.25,1.25,1.19,1.12,1.19,1.19,1.25,1.25,1.25,1.12,1.12,1.20,1.25,1.19,1.22,1.25,1.23,1.15,1.25,1.25,1.22,1.19,1.22,1.26,1.25,1.25,1.25,1.12,1.20,1.12,1.19,1.19,1.25,1.15,1.19,1.19,1.22,1.19,1.19,1.29,1.25,1.19,1.25,1.12,1.12,1.12,1.45,1.45,1.45,1.50,1.35,1.35,1.35,1.25,1.30,1.35,1.35,1.35,1.35,1.35,1.25,1.35,1.25,1.35,1.25,1.35,1.25,1.25,1.25,1.35,1.30,1.35,,1.45,1.25,1.25,1.25,1.35,1.35,1.35,1.35,1.25,,1.29,1.35
Mayonesa *,15 Onzas,2.48,2.45,2.55,2.55,2.45,2.49,2.49,2.49,2.46,2.43,2.46,2.49,2.49,2.49,2.40,2.40,2.45,2.49,2.49,2.45,2.49,2.48,2.45,2.49,2.49,2.49,2.47,2.45,2.45,2.49,2.49,2.49,2.43,2.47,2.43,2.30,2.13,2.49,2.49,2.45,2.49,,,,,,,,,,,,,3.25,,2.50,2.75,,,2.70,,,,,,2.75,,,,2.60,2.50,,3.00,,,2.50,2.75,,,,,,,2.35,2.50,2.85,2.95,,,
Pasta de Tomate *,113 Gramos,0.50,0.52,0.45,0.45,0.40,0.49,0.35,0.35,0.34,0.45,0.39,0.35,0.35,0.35,0.45,0.33,0.40,0.35,0.49,0.40,0.35,0.50,0.40,0.35,0.49,0.47,0.39,0.50,0.40,0.35,0.49,0.35,0.37,0.34,0.45,0.39,0.39,0.35,0.47,0.50,0.35,0.37,0.33,0.33,0.44,0.35,0.35,0.35,0.30,0.32,0.32,0.75,0.80,0.75,0.85,0.75,0.65,0.85,0.75,0.70,0.75,0.75,0.60,0.75,0.75,0.75,0.75,0.65,0.75,0.70,0.75,0.75,0.75,,0.75,0.75,0.75,0.70,0.75,0.65,0.75,0.50,0.75,0.50,0.55,0.75,0.55,0.49,0.45,0.68
Sal  *,1 Kilogramos,0.60,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.64,0.53,0.55,0.55,0.55,0.44,0.46,0.55,0.55,0.64,0.55,0.55,0.60,0.55,0.51,0.64,0.49,0.49,0.55,0.55,0.55,0.64,0.55,0.51,0.44,0.44,0.49,0.49,0.64,0.49,0.50,0.64,0.44,0.49,0.49,0.55,0.55,0.55,0.64,0.44,0.57,0.44,0.99,0.88,0.88,1.10,1.10,0.88,1.10,0.99,1.10,0.88,0.88,0.88,0.99,0.88,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.99,0.88,0.88,,0.77,0.88,0.77,0.77,0.77,0.77,1.10,0.77,0.88,0.99,0.88,0.66,0.55,
Salsa de Tomate *,113 Gramos,0.50,0.45,0.69,0.69,0.49,0.45,0.45,0.45,0.33,0.49,0.33,0.35,0.35,0.35,0.33,0.35,0.47,0.35,0.35,0.50,0.35,0.50,0.50,0.49,0.35,0.44,0.33,0.44,0.44,0.35,0.35,0.35,0.34,0.42,0.42,0.33,0.33,0.45,0.44,0.47,0.35,0.37,0.33,0.33,0.44,0.35,0.35,0.35,0.30,0.32,0.32,0.75,,0.75,0.85,0.75,0.65,0.85,0.65,0.70,0.75,0.75,0.75,0.70,0.60,0.75,0.75,0.65,0.75,0.70,0.75,0.75,0.65,0.75,0.75,0.65,0.65,0.75,0.75,0.60,0.75,0.50,0.75,0.50,0.55,0.75,0.55,0.49,0.45,0.50
Soda en envase pl†stico *,1 Litros,1.31,1.35,1.60,1.60,1.45,1.47,1.47,1.47,1.45,1.15,1.55,1.47,1.47,1.47,1.45,1.45,1.45,1.47,1.47,1.50,1.09,1.31,1.50,1.47,1.47,1.50,1.50,1.45,1.45,1.47,1.47,1.47,1.43,1.45,1.45,1.55,1.50,1.50,1.53,1.30,1.52,,,1.25,1.47,1.52,,1.52,1.48,,1.48,1.25,,1.45,1.75,1.35,1.25,1.35,1.35,1.35,1.60,1.50,1.35,1.50,1.60,1.65,1.35,1.45,1.50,1.50,1.25,,1.50,1.50,1.35,1.55,,1.50,1.50,1.50,1.25,,1.50,1.50,1.50,1.50,1.50,,1.40,1.35
Sopa Deshidratada (Pollo y Fideos) *,60 Gramos,0.43,0.45,0.45,0.45,0.45,0.42,0.42,0.44,0.42,0.40,0.40,0.36,0.42,0.42,0.40,0.40,0.45,0.42,0.36,0.45,0.44,0.42,0.38,0.42,0.42,0.40,0.40,0.45,0.45,0.42,0.42,0.42,0.41,0.38,0.48,0.39,0.40,0.40,0.40,0.50,0.42,0.40,0.40,0.40,0.38,0.36,0.42,0.42,0.38,0.48,0.42,0.75,,0.75,,0.75,0.65,0.75,0.65,0.65,0.65,0.65,0.65,0.65,0.75,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.60,0.65,0.65,0.60,0.65,0.65,0.75,,,,,0.39,0.39,0.65
Te Negro *,36 Gramos,0.91,,0.95,0.95,0.95,0.99,0.99,0.99,0.81,0.98,0.89,0.99,0.99,0.99,0.87,0.87,0.84,0.99,0.99,0.85,0.99,0.91,0.95,0.99,0.99,0.93,0.87,0.84,0.84,0.99,0.99,0.95,0.82,0.81,0.81,0.93,0.93,0.93,0.98,0.95,,0.93,0.92,0.92,0.84,0.99,0.99,0.99,0.82,0.88,0.82,1.45,1.00,1.15,,,,,1.25,,,,,,,,1.10,,,,,,,,,1.50,,,,,,0.90,,,1.00,1.25,1.25,,1.05,1.25
