Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 RICARDO J. ALFARO,XTRA RICARDO J. ALFARO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL FUERTE TOCUMEN,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,MINISUPER CD,ABA EL CANGREJO/ BELLA VISTA,FRUTER÷A  MIMI,MINI MARKET ONLY,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMµ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABARROTER÷A BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES
Naranja de Jugo *,1 Kilogramos,,,0.95,0.95,,,,,0.88,,0.88,0.90,0.90,0.90,0.88,,,,,,0.90,,,,0.99,0.83,0.79,,,0.90,0.90,,0.85,0.81,0.81,,,,0.83,,0.90,0.95,0.99,0.99,,,0.90,,0.81,0.79,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pi§a *,1 Kilogramos,0.80,,0.90,0.90,,0.99,0.99,0.99,,0.99,0.99,1.05,1.05,1.05,,,,1.05,,,1.05,,,1.05,1.05,,0.99,,,1.05,1.05,1.05,,,,0.99,0.99,1.05,0.95,,,0.98,,0.99,,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aceite Vegetal Nacional *,"1,42 Litros",3.80,2.95,3.75,3.75,2.75,2.85,2.99,3.30,,2.65,2.65,2.85,2.99,2.85,2.63,2.63,3.65,3.99,3.55,2.95,2.85,3.80,3.55,3.55,3.99,3.25,,3.65,2.65,2.99,2.99,2.99,2.63,1.97,2.63,3.67,2.65,2.99,3.25,2.75,2.99,3.25,3.67,3.19,3.89,3.99,3.93,3.99,2.63,2.63,2.63,,,4.65,,4.25,4.25,,,3.80,4.00,,3.75,,,,3.50,,,4.00,,,,,,3.75,,,,,,3.00,,3.25,4.50,3.85,3.35,4.19,,5.79
Margarina en barra*,1 Kilogramos,2.93,3.20,3.35,3.35,4.08,3.06,3.06,3.06,,3.20,3.28,3.06,3.06,3.06,3.09,3.35,2.93,3.06,3.06,3.15,3.06,3.13,3.15,3.06,3.06,3.20,,3.28,3.13,3.06,3.06,3.06,3.02,3.17,2.98,3.20,3.20,3.06,3.22,3.04,3.06,3.22,3.28,3.28,3.09,,3.28,3.06,3.00,2.84,3.00,5.29,3.97,4.85,4.85,5.29,5.29,5.73,4.85,4.41,5.29,4.41,4.41,4.41,4.41,4.41,5.29,4.41,4.41,4.41,3.97,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,,4.41,4.08,5.29,,,,,3.09,3.06,4.41
Leche en Polvo entera instant†nea *,360 Gramos,3.76,3.32,3.76,3.76,3.31,2.35,2.35,2.35,3.73,3.76,2.95,2.35,2.35,2.35,3.73,2.93,3.31,3.25,3.25,3.55,2.35,3.76,3.55,3.25,3.29,2.98,,3.31,3.31,2.35,2.35,2.35,3.73,2.96,2.96,2.95,2.95,2.35,2.98,3.31,3.25,2.98,3.68,2.95,3.31,3.25,3.25,,2.96,3.23,,,,,,3.76,3.76,,3.76,3.76,,3.76,3.75,,,,3.76,,,3.76,,,3.76,3.76,3.76,3.76,3.75,3.76,,,,3.76,,3.76,3.75,3.76,3.75,3.25,,3.76
Leche Evaporada *,167 Gramos,0.55,0.55,0.53,0.53,0.55,0.50,0.50,0.50,0.48,0.47,0.47,0.50,0.50,0.50,0.57,0.45,0.55,0.50,0.50,0.55,0.50,0.53,0.55,0.50,0.50,0.50,0.71,0.55,0.55,0.50,0.50,0.55,0.48,0.48,0.48,0.46,0.49,0.50,0.50,0.55,0.68,0.50,0.49,0.49,0.55,0.50,0.50,0.50,0.47,0.41,0.47,0.85,0.90,0.75,0.85,0.75,0.70,0.85,0.60,0.75,0.75,0.75,0.75,0.75,0.65,0.65,0.60,0.75,0.70,0.60,0.75,0.75,0.75,0.70,0.85,0.60,0.60,0.65,0.75,,0.65,0.75,0.85,0.75,0.70,0.75,0.70,0.55,,0.70
Leche Fresca y Pasteurizada *,946 Mililitros,1.51,1.49,1.49,1.49,1.49,1.40,1.40,1.40,1.43,1.35,1.32,1.40,1.40,1.40,1.30,1.27,,1.40,1.40,1.45,1.40,1.51,1.45,1.40,1.40,1.40,1.55,1.49,1.42,1.40,1.45,1.40,1.38,1.38,1.30,1.29,1.29,1.45,1.40,1.42,1.35,1.40,1.35,1.42,1.46,1.40,1.40,1.35,1.44,1.31,1.33,,1.75,1.65,1.75,1.50,1.50,1.60,1.60,1.60,1.65,1.60,1.55,1.60,1.50,1.70,1.55,1.65,1.60,1.60,1.50,1.60,1.55,1.50,1.50,1.50,1.55,1.60,,,1.50,1.65,1.75,1.50,1.50,1.50,1.35,1.45,1.45,1.59
Queso Amarillo *,1 Kilogramos,6.61,6.61,6.61,6.61,6.61,6.21,6.21,6.21,6.59,6.61,6.61,6.21,,6.21,6.19,6.19,6.61,6.21,,6.61,6.21,6.61,6.61,6.61,6.61,6.59,,6.61,,6.21,6.21,6.21,6.19,6.57,6.19,6.60,6.60,6.21,6.59,6.61,,6.59,6.60,6.60,,6.21,6.21,6.21,6.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.61,
Queso Blanco Prensado Bajo en Sal *,1 Kilogramos,15.27,11.69,14.30,14.30,15.86,11.99,,11.99,,11.75,11.75,11.99,11.99,11.99,11.72,,11.69,11.75,11.95,11.69,11.49,15.07,11.69,11.49,11.75,11.31,,,16.00,11.99,11.75,11.99,11.67,10.96,10.75,11.49,11.05,11.75,14.33,15.45,11.75,11.05,15.25,11.75,15.85,14.99,,,14.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huevos Medianos de Gallina *,1 Docena,1.89,1.95,1.87,1.87,1.83,2.05,2.05,2.05,1.97,2.05,2.05,2.05,2.05,2.05,1.85,1.85,1.95,2.15,2.05,1.83,2.05,1.98,1.83,2.05,2.05,2.04,2.05,1.95,2.00,2.05,2.05,2.05,1.89,1.94,1.94,2.05,2.05,2.15,1.95,1.83,2.05,1.95,2.05,2.15,1.99,2.05,2.19,2.05,1.89,1.85,1.88,,3.00,,3.00,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,1.92,2.40,2.40,,2.40,2.40,2.40,,2.40,2.40,,2.40,2.40,2.16,1.92,2.40,2.40,1.95,,,,1.87,1.89,
Az£car Morena *,1 Kilogramos,,1.50,1.45,1.45,1.48,1.40,1.23,,1.41,1.37,1.37,,1.40,1.23,,1.43,1.28,,1.40,1.50,1.23,1.65,1.33,1.23,1.23,1.68,,1.48,1.48,,1.23,,1.41,1.41,1.43,1.37,1.37,1.23,,,,,,,,,,,1.41,1.30,1.41,,,,,1.75,1.88,1.75,1.88,1.88,1.88,1.88,1.65,1.88,1.88,1.88,1.88,1.88,1.75,1.75,1.75,1.65,1.75,1.63,1.65,1.63,1.50,1.88,1.75,1.75,1.63,1.50,1.75,,,,,,,
CafÇ Molido Tradicional *,425 Gramos,5.71,5.35,3.67,3.67,4.45,4.75,4.75,4.75,4.74,4.97,4.75,4.75,2.45,4.75,2.79,4.73,5.35,3.45,3.45,4.65,3.45,5.71,5.35,4.75,3.45,3.09,4.75,4.45,4.45,3.45,2.81,3.45,4.73,2.77,2.78,4.75,4.75,4.75,2.91,4.45,3.45,2.91,2.94,,5.35,2.81,2.81,3.45,2.79,2.86,2.79,5.75,5.90,5.95,6.95,,5.25,,5.50,5.25,,5.50,,5.50,,,,,,,,,5.50,,5.95,5.25,5.00,,,,,4.95,,5.35,5.50,5.35,5.95,2.99,2.99,4.55
Jugo de Naranja *,946 Mililitros,0.99,0.99,1.36,1.35,0.99,0.99,0.99,0.99,1.15,0.99,0.99,1.19,0.99,1.25,0.98,0.98,0.99,1.25,0.99,0.99,0.99,,,,1.25,0.99,0.90,0.99,1.19,1.25,,0.99,1.12,0.98,,0.99,0.99,0.99,1.22,0.99,1.19,0.99,0.99,0.99,0.95,0.99,0.99,0.99,0.98,,1.12,1.45,1.45,1.45,1.50,1.35,1.35,1.35,1.35,1.30,1.25,1.35,1.35,1.35,1.35,1.35,1.35,1.25,1.35,1.25,1.25,1.25,1.25,1.25,1.35,1.35,1.35,1.35,1.25,1.35,1.25,1.25,1.35,1.35,1.35,1.35,1.35,1.29,,
Mayonesa *,15 Onzas,2.48,2.45,2.15,2.15,2.45,1.99,1.99,1.99,2.06,2.09,2.09,1.99,1.99,1.99,1.97,1.97,2.45,1.99,1.99,2.45,1.99,2.48,2.45,1.99,1.99,2.12,,2.79,2.45,1.99,1.99,1.99,2.21,2.47,2.07,2.09,2.09,1.99,2.12,2.45,1.99,2.12,2.09,2.09,,,,,,,,,3.10,2.95,,2.50,2.75,,,2.70,,2.65,,,,,,,,2.60,2.50,,2.75,2.95,2.95,2.50,2.50,,,,,,,2.35,2.50,2.65,2.95,,,
Pasta de Tomate *,113 Gramos,0.50,0.40,0.59,0.59,0.49,0.45,0.45,0.45,0.50,0.43,0.43,0.52,0.45,0.52,0.33,0.43,0.50,0.64,0.52,0.52,0.45,0.50,0.50,0.52,0.52,0.47,0.54,0.50,0.50,0.45,0.52,0.52,0.37,0.37,0.37,0.43,0.43,0.45,0.39,0.44,0.45,0.39,0.49,0.43,0.50,0.45,0.39,,0.33,0.32,0.32,0.75,0.65,0.75,0.85,0.75,0.75,0.85,0.55,0.70,0.75,0.70,0.75,0.75,0.65,0.75,0.75,0.65,0.75,0.70,0.75,0.75,0.75,0.75,0.75,0.65,0.50,0.75,0.75,0.65,0.75,0.50,0.75,0.50,0.55,,0.55,0.49,0.45,0.50
Sal  *,1 Kilogramos,0.62,0.55,0.55,0.55,0.55,0.64,0.55,0.55,0.51,0.46,0.49,0.55,,0.55,0.44,0.51,0.55,0.55,0.64,0.55,0.55,0.60,0.55,0.55,0.64,0.49,0.49,0.55,0.55,0.55,0.64,0.55,0.51,0.44,0.55,0.53,0.49,0.64,0.51,0.55,0.64,0.49,0.49,0.49,0.55,0.55,0.55,0.64,0.51,0.49,0.46,0.99,0.88,0.99,1.10,0.99,,1.10,0.99,1.10,0.88,0.77,0.88,0.99,0.88,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.99,0.88,0.88,,0.77,0.99,0.77,0.77,0.77,0.77,1.10,0.77,0.88,0.99,0.99,0.66,0.64,0.77
Salsa de Tomate *,113 Gramos,0.59,0.49,,,0.47,0.45,0.45,0.45,,0.43,0.43,0.45,0.45,0.45,0.33,0.42,0.45,0.45,0.45,0.45,0.45,0.62,0.49,0.52,0.45,0.44,,0.47,0.49,0.45,0.45,0.45,0.33,0.42,0.33,0.43,0.43,0.45,0.44,0.47,0.45,0.39,0.35,0.39,0.50,0.45,0.39,,0.33,0.32,0.32,,0.65,0.75,0.85,0.75,0.65,0.85,0.55,0.65,0.75,0.70,0.75,0.70,0.65,0.75,0.75,0.65,0.75,0.70,0.75,0.75,0.66,0.75,0.75,0.65,,0.75,0.75,0.65,0.60,0.50,0.75,0.50,0.55,0.75,0.55,0.49,0.45,0.50
Soda en envase pl†stico *,1 Litros,1.31,1.15,1.60,1.60,1.45,1.29,1.29,1.29,1.13,1.55,1.50,1.47,1.29,1.29,1.23,1.08,1.10,1.10,1.15,1.50,1.47,1.32,1.55,1.15,1.15,1.23,1.25,1.15,1.47,1.29,1.29,1.29,1.29,1.29,1.29,1.10,1.10,1.47,0.85,1.47,0.75,,,,1.47,1.29,1.29,,1.25,,,1.75,1.50,1.75,1.85,1.25,1.25,1.50,1.25,1.35,1.60,1.50,1.25,1.50,1.50,1.25,1.35,1.35,1.50,1.25,1.35,1.35,1.35,1.50,1.35,1.65,1.25,1.65,1.50,1.50,1.35,1.25,1.50,1.50,1.50,1.50,1.25,1.29,,
Sopa Deshidratada (Pollo y Fideos) *,60 Gramos,0.59,0.50,0.45,0.45,0.45,0.64,0.42,0.44,,0.40,0.40,0.42,0.42,0.42,0.40,0.48,0.45,0.42,0.42,0.50,0.44,0.42,0.50,0.44,0.44,0.46,,0.49,0.45,0.42,0.42,0.42,0.42,0.38,0.41,0.39,0.49,0.44,0.41,0.45,0.42,0.40,0.40,0.37,0.45,0.42,0.42,0.42,0.38,0.37,0.41,0.75,,0.75,0.85,0.75,0.65,0.75,0.65,0.65,0.65,0.65,0.65,0.65,0.75,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.60,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.75,0.65,,,,0.39,,0.50
Te Negro *,36 Gramos,0.91,0.85,0.95,0.95,0.95,0.99,0.99,0.99,0.97,0.98,0.89,0.99,0.99,0.99,0.87,0.95,0.84,0.99,0.99,0.85,0.99,0.98,0.95,0.99,0.99,0.93,0.87,0.95,0.84,0.99,0.99,0.95,0.82,0.97,0.91,0.93,0.93,0.93,0.98,0.84,0.99,0.98,0.92,0.92,0.84,0.99,0.99,0.99,0.90,0.88,0.90,,1.00,1.45,1.50,,,,1.25,,,,,,,,1.10,,,,,,,,,1.50,1.00,,,,,0.90,,1.00,1.00,1.25,1.25,1.03,1.05,
