Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 RICARDO J. ALFARO,XTRA RICARDO J. ALFARO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL FUERTE TOCUMEN,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,MINISUPER CD,ABA EL CANGREJO/BELLA VISTA,FRUTER÷A  MIMI,MINI MARKET ONLY,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMµ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABARROTER÷A BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES
Manzana Roja Mediana *,1 Unidades,,,0.45,0.45,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,0.35,0.35,,0.35,,,,,,,,,,0.50,0.50,0.65,0.65,,0.50,0.50,0.50,0.50,,0.50,0.50,,0.50,0.50,0.50,0.50,0.50,0.50,,,0.50,0.50,,0.50,0.50,0.50,,,,,,0.50,0.50,0.50,0.50,,0.50,
Naranja de Jugo *,1 Kilogramos,,,,,,0.90,0.90,,,,,,0.90,0.90,0.80,0.80,,0.90,,,0.90,,,0.90,,0.83,,,,,0.95,,0.85,0.87,0.82,,,,0.84,,0.90,0.83,,,,0.90,,,0.81,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pi§a *,1 Kilogramos,0.80,,0.90,0.94,,,1.05,1.05,,0.99,0.99,1.05,1.05,1.05,,,,,,,,,,1.05,,0.95,0.95,,,1.05,0.99,,,,,0.99,0.99,1.05,0.95,,,,,0.99,,1.05,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aceite Vegetal Nacional *,"1,42 Litros",3.80,2.50,3.75,3.75,3.25,3.75,3.75,3.75,2.13,2.65,2.92,2.55,2.55,2.55,2.54,2.53,3.25,3.75,3.75,3.25,3.75,4.29,3.25,3.75,3.75,2.98,3.35,2.50,3.25,2.55,2.55,2.55,2.13,2.53,2.53,3.33,2.65,2.55,4.01,2.15,2.59,4.01,4.05,3.71,,3.75,3.75,3.75,2.13,2.78,2.13,,,4.95,,,3.25,,,,,,,,,,,,,,,,,,3.75,3.45,3.50,3.50,,,,,,,4.50,3.85,3.35,3.39,,4.45
Margarina en barra*,1 Kilogramos,3.13,3.28,3.11,3.11,3.28,3.06,3.06,3.06,3.09,3.20,3.28,3.28,3.06,3.28,3.28,3.28,2.93,3.06,3.06,3.20,3.09,2.93,2.93,3.06,3.06,2.98,3.20,3.28,3.20,3.06,3.06,3.06,3.09,2.91,2.87,3.28,3.20,3.06,3.02,2.93,3.06,2.95,3.28,3.28,3.20,3.06,3.06,3.06,2.91,2.64,3.09,5.73,3.97,4.85,,5.73,4.41,4.19,4.41,4.41,4.41,3.86,4.30,,4.41,4.41,4.41,4.41,4.41,4.41,3.97,4.41,3.87,4.41,4.41,5.73,4.41,4.41,4.41,4.41,4.08,4.08,4.30,,,,,2.87,2.84,3.20
Leche en Polvo entera instant†nea *,360 Gramos,3.76,3.32,3.76,3.76,3.31,3.25,3.25,3.25,3.23,3.45,3.45,2.25,2.89,2.25,2.93,3.13,3.55,2.89,2.89,3.32,3.25,3.64,3.55,2.89,2.89,2.98,2.95,3.31,3.31,2.25,2.25,2.25,3.23,2.96,2.93,2.95,3.45,2.25,2.98,3.31,3.25,2.98,2.95,3.45,3.31,2.89,,3.72,2.96,2.90,2.96,,,3.76,,3.75,3.76,,3.76,3.75,,3.76,3.75,,3.76,3.76,3.76,,,3.76,,,,3.76,3.76,,3.76,3.76,,,,,,3.76,3.75,3.76,3.75,3.25,2.35,3.76
Leche Evaporada *,167 Gramos,0.52,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.48,0.44,0.50,0.50,0.50,0.50,0.48,0.44,0.49,0.50,0.50,0.50,0.50,0.53,0.50,0.50,0.50,0.52,0.47,0.50,0.49,0.50,0.50,0.50,0.47,0.48,0.45,0.41,0.41,0.50,0.79,0.63,0.68,0.51,0.42,0.42,0.49,0.50,0.50,0.50,0.40,0.40,0.40,0.80,0.85,0.75,0.85,0.75,0.75,0.85,0.60,0.75,0.75,0.75,0.50,0.75,0.55,0.55,0.60,0.75,0.70,0.60,0.75,0.65,0.75,0.70,0.60,0.60,0.55,0.60,0.70,0.55,0.65,0.75,0.85,0.69,0.70,0.75,0.70,0.49,0.49,0.60
Leche Fresca y Pasteurizada *,946 Mililitros,1.49,1.42,1.49,1.49,1.42,1.40,1.40,1.40,1.35,1.35,1.45,1.40,1.40,1.40,1.27,1.33,1.40,1.45,1.40,1.44,1.40,1.55,,1.40,1.40,1.31,1.32,1.44,1.41,1.35,1.40,1.40,1.37,1.31,1.29,1.29,1.29,1.29,1.45,1.41,1.35,1.40,1.35,1.35,1.40,1.40,1.40,1.45,1.29,1.30,1.29,1.75,1.75,1.55,1.75,1.50,1.50,1.50,1.55,1.60,1.65,1.60,1.65,1.60,1.50,1.65,1.55,1.50,1.60,1.60,1.50,1.60,1.50,1.50,1.65,1.50,1.55,1.50,1.55,1.50,1.50,1.65,1.65,1.50,1.50,1.50,1.35,1.45,1.45,1.45
Queso Amarillo *,1 Kilogramos,6.61,6.61,6.61,6.61,6.61,6.21,,6.21,6.53,6.60,6.60,6.21,6.21,6.21,6.19,6.19,6.61,6.21,6.21,6.61,6.21,6.61,6.61,6.61,6.61,6.59,6.60,6.61,6.61,6.21,6.21,6.21,6.19,6.59,6.19,6.60,6.60,6.21,6.50,6.61,6.22,6.59,6.60,5.56,6.61,6.21,6.21,6.21,6.19,,6.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.61,
Queso Blanco Prensado Bajo en Sal *,1 Kilogramos,11.30,15.86,14.30,14.30,10.79,10.57,,10.57,12.35,,11.35,,11.75,11.49,14.74,,12.15,11.75,11.75,10.79,11.75,11.13,12.22,11.50,11.75,11.25,11.75,,15.45,11.49,11.49,11.49,14.74,11.22,11.03,11.49,11.73,11.49,14.33,13.87,15.01,11.91,,11.75,15.45,11.98,10.57,11.75,11.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huevos Medianos de Gallina *,1 Docena,1.74,1.87,1.68,1.68,1.87,1.75,1.75,1.75,1.68,1.75,1.75,1.75,1.75,1.75,1.73,1.68,1.75,1.75,1.75,1.70,1.75,1.74,1.70,1.75,1.75,1.60,1.75,1.70,1.75,1.75,1.75,1.75,1.73,1.66,1.68,1.75,1.75,1.75,1.60,1.70,1.75,1.75,1.75,1.75,1.80,1.75,1.75,1.75,1.68,1.85,1.68,,3.00,,2.40,3.00,2.40,2.40,2.40,2.40,2.40,2.40,1.80,,2.40,1.92,2.40,2.40,1.80,2.40,2.40,2.40,2.40,1.92,1.92,1.80,2.40,2.40,1.92,,,1.80,1.92,1.75,,,,1.65,1.85,
Az£car Morena *,1 Kilogramos,1.65,1.23,1.37,1.37,1.23,1.30,1.30,1.13,1.43,,1.43,1.23,1.13,1.13,1.08,1.08,1.18,1.13,1.37,1.23,1.30,1.54,1.23,1.13,1.30,1.08,1.15,1.23,1.18,1.13,1.13,1.13,1.18,1.28,1.17,1.18,1.18,1.13,1.13,1.18,1.13,,,,,,,,1.43,1.30,1.33,1.88,1.88,,,1.75,1.88,1.88,1.88,1.88,1.75,1.63,1.63,1.75,1.63,1.88,1.88,1.63,1.75,1.63,1.63,1.63,1.75,1.75,1.75,1.63,1.63,1.75,1.63,1.43,1.43,1.50,1.75,1.63,1.75,1.43,1.63,,,
CafÇ Molido Tradicional *,425 Gramos,5.01,4.75,3.67,4.75,4.75,2.81,4.75,4.75,3.05,2.94,2.94,3.45,3.45,4.75,2.79,2.79,4.75,4.75,4.75,4.75,4.75,5.71,4.75,4.75,3.45,2.91,2.95,4.75,4.75,3.45,3.45,3.45,4.73,2.77,2.89,4.75,4.98,4.75,2.91,3.70,3.05,2.76,4.75,2.94,4.75,2.81,2.81,4.75,2.77,2.77,2.77,5.75,5.90,5.95,6.95,5.85,5.25,,5.50,5.25,5.35,5.50,,5.50,,,5.50,,,,,,5.50,,5.75,5.25,5.00,,,,,4.95,,5.35,5.50,5.35,5.95,2.99,2.99,5.25
Jugo de Naranja *,946 Mililitros,1.31,1.29,1.46,1.46,1.29,1.25,1.29,1.25,1.27,1.29,1.35,1.25,1.25,1.25,1.27,1.27,1.29,1.29,1.29,1.29,1.25,1.31,1.29,,1.29,1.19,1.27,1.29,1.29,1.25,1.29,1.29,1.31,1.17,1.25,1.27,1.27,1.25,1.22,1.19,1.19,1.19,,1.25,1.29,1.29,1.25,1.25,1.23,,1.23,1.45,1.45,1.45,1.50,1.35,1.35,1.35,1.35,1.25,1.25,1.35,1.35,1.40,1.35,1.25,1.35,1.25,1.35,1.25,1.25,1.25,1.25,1.35,1.35,1.35,1.35,1.35,1.35,1.25,1.25,1.25,1.35,1.35,1.35,1.35,1.25,1.29,1.29,
Mayonesa *,15 Onzas,2.48,2.45,2.48,2.55,2.45,2.49,2.49,2.49,2.46,1.95,1.95,1.99,1.99,1.99,1.97,1.97,2.45,2.49,2.49,2.45,2.49,2.48,2.45,2.49,2.49,2.49,2.49,2.45,2.45,2.45,2.49,2.49,2.45,2.47,2.47,1.95,1.95,1.99,2.49,2.45,2.49,,,,,,1.99,,,2.20,,,,2.95,,2.50,2.75,,,2.75,,2.65,,,,,,,,2.60,2.50,,2.65,2.65,,2.50,2.50,,,,2.35,2.50,,2.35,2.50,2.65,2.95,,,
Pasta de Tomate *,113 Gramos,0.50,0.52,0.45,0.45,0.49,0.35,0.35,0.35,0.34,0.35,0.33,0.35,0.35,0.35,0.33,0.33,0.50,0.35,0.49,0.65,0.35,0.50,0.65,0.35,0.35,0.37,0.39,0.40,0.40,0.49,0.35,0.35,0.33,0.35,0.47,0.39,0.39,0.35,0.37,0.40,0.45,0.47,,0.39,0.50,0.35,0.35,0.35,0.33,0.33,0.33,0.75,0.55,0.75,0.85,0.75,0.65,0.85,0.80,0.65,0.75,0.75,0.75,0.75,0.75,0.65,0.75,0.60,0.75,0.70,0.75,0.75,0.75,0.75,0.75,0.75,0.50,0.75,0.75,0.60,0.60,0.50,0.75,0.65,0.55,0.75,0.55,0.49,0.45,0.52
Sal  *,1 Kilogramos,0.60,0.55,0.60,0.60,0.55,0.55,0.55,0.55,0.51,0.51,0.53,0.55,0.64,0.55,,0.55,0.55,0.51,0.64,0.55,0.55,0.60,0.55,0.55,0.55,0.49,0.49,0.55,0.55,0.55,0.64,0.64,0.51,0.49,0.44,0.53,0.49,0.64,0.49,,0.55,0.60,0.49,0.53,0.55,0.64,0.64,0.64,0.44,0.46,0.51,0.99,0.88,0.99,1.10,1.10,0.88,1.10,0.99,1.10,0.77,0.77,0.88,0.99,0.88,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.99,0.88,0.88,0.77,0.77,0.88,0.77,0.77,0.77,0.77,0.99,0.77,0.88,0.99,0.77,0.77,0.64,
Salsa de Tomate *,113 Gramos,0.50,0.49,0.67,0.67,0.47,0.35,0.35,0.35,0.34,0.33,0.33,0.35,0.35,0.35,0.33,0.33,0.50,0.35,0.49,0.50,0.35,0.50,0.50,0.35,0.35,0.44,0.33,0.49,0.49,0.35,0.35,0.35,0.33,0.42,0.43,0.33,0.33,0.35,0.44,0.44,0.35,0.47,0.33,0.33,0.50,0.35,0.35,0.35,0.33,0.33,0.33,0.75,0.55,0.99,0.85,0.75,0.65,0.85,0.65,0.65,0.75,0.75,0.75,0.65,0.75,0.65,0.75,0.65,0.75,0.70,0.75,0.75,0.65,0.75,0.75,0.65,0.50,0.70,0.75,0.65,0.60,0.50,0.75,0.50,0.55,0.75,0.55,0.49,0.45,0.50
Soda en envase pl†stico *,1 Litros,1.30,1.35,1.35,1.35,1.30,1.10,1.09,1.20,1.24,1.40,1.25,1.25,1.25,1.25,1.23,1.23,1.20,1.25,1.20,1.20,1.20,1.33,1.20,1.09,1.20,1.25,,1.30,1.30,1.25,1.25,1.25,1.25,1.23,1.23,1.25,1.40,1.25,1.53,1.30,1.25,1.25,1.25,1.25,1.30,1.25,1.25,,1.23,1.25,,1.75,1.50,1.45,1.75,1.35,1.25,1.45,1.50,1.50,1.60,1.25,,1.50,1.25,1.25,1.35,1.35,1.65,1.25,1.50,1.25,1.25,1.25,1.35,1.25,1.25,1.50,1.50,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.29,0.89,1.35
Sopa Deshidratada (Pollo y Fideos) *,60 Gramos,0.43,0.45,0.44,0.45,0.50,0.42,0.39,0.42,0.44,0.35,0.35,0.39,0.39,0.39,0.41,0.41,0.50,0.42,0.42,0.65,0.42,0.43,0.50,0.49,0.39,0.40,0.35,0.45,0.45,0.39,0.39,0.42,0.41,0.38,0.38,0.35,0.35,0.39,0.41,0.45,0.42,,0.35,0.35,0.45,0.44,0.33,0.39,0.38,0.37,0.38,0.75,0.75,0.75,0.85,0.75,0.65,0.65,0.65,0.60,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.60,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,,,,,0.34,0.39,0.65
Te Negro *,36 Gramos,0.88,0.95,0.95,0.97,0.95,0.99,0.99,0.99,0.97,0.98,0.89,0.99,0.99,0.99,0.87,0.87,0.95,0.99,0.99,0.95,0.99,0.98,0.95,0.99,0.95,0.93,0.87,,0.84,0.99,0.99,0.95,0.82,0.97,0.85,0.93,0.95,0.93,0.98,0.95,0.99,0.98,0.92,0.94,0.95,0.99,0.99,0.99,0.82,0.88,0.82,1.45,,1.45,1.50,,,,1.25,,,,,,,,,,,,,,,,,1.50,1.00,,,,,,,1.00,1.00,1.25,1.25,1.03,1.35,1.25
