Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 RICARDO J. ALFARO,XTRA RICARDO J. ALFARO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL FUERTE TOCUMEN,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,MINISUPER CD,ABA EL CANGREJO/BELLA VISTA,FRUTER÷A  MIMI,MINI MARKET ONLY,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMµ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABARROTER÷A BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES
Guineos *,1 Kilogramos,1.02,0.99,1.10,1.10,0.99,0.99,0.99,0.99,0.97,0.99,0.99,0.99,0.99,0.99,0.97,0.97,0.99,0.99,0.99,0.99,0.99,1.01,0.99,0.99,,0.93,0.95,0.98,0.99,0.99,0.99,0.99,0.93,0.96,0.91,0.98,0.98,,,0.95,0.99,0.94,0.96,0.96,0.95,0.99,0.99,0.99,0.92,0.93,0.91,1.21,,1.21,1.32,1.10,1.10,,1.10,1.10,,0.88,,,1.10,,1.10,,,,,,1.10,1.10,1.10,1.10,1.10,1.10,,,,,1.10,1.10,,,0.92,0.92,
Manzana Roja Mediana *,1 Unidades,,,0.45,0.45,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,0.35,0.35,,,,,,,,,,,,0.50,0.50,0.50,0.65,0.50,0.50,,0.50,,,,0.50,,,,0.50,0.50,,0.50,,,0.50,0.50,0.50,,0.50,0.50,,,,,0.50,0.50,,0.50,,,
Naranja de Jugo *,1 Kilogramos,,,0.95,0.95,,0.90,0.90,,0.80,0.99,0.99,0.90,0.90,,0.80,,,0.90,0.90,,,,,0.90,0.90,,0.84,,,0.90,,,,0.87,0.82,,,,,,0.88,,,0.84,,,,,,0.86,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pi§a *,1 Kilogramos,,,0.75,0.75,,,1.05,1.05,,0.99,0.99,1.05,1.05,1.05,,,,1.05,1.05,,0.99,,,,1.05,0.95,0.99,,,1.05,1.05,,,,,0.99,0.99,1.05,0.95,,1.04,,0.99,0.95,,1.05,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aceite Vegetal Nacional *,"1,42 Litros",3.30,2.50,3.48,3.48,2.65,2.35,2.49,2.35,1.97,3.59,2.19,2.35,2.15,1.97,2.17,1.97,2.45,1.97,1.97,3.25,2.35,3.30,2.30,2.35,2.25,2.36,2.19,2.45,2.45,2.35,1.97,2.35,2.18,2.23,1.95,3.19,3.19,2.49,,,,2.36,3.45,3.45,3.70,3.75,2.49,3.55,3.70,2.13,2.17,,,3.55,,,,3.95,3.75,,,,,,,,,3.95,,3.25,3.85,,,,3.50,,2.95,3.75,,,,,,,,,,,
Margarina en barra*,1 Kilogramos,3.17,2.93,2.95,3.06,3.02,2.84,2.84,3.06,2.51,3.04,3.04,3.06,3.06,3.28,3.09,3.09,2.95,3.28,3.28,3.00,2.84,2.93,2.93,3.06,2.84,2.91,3.04,3.00,3.00,3.28,2.84,2.84,2.91,2.87,2.91,3.04,3.04,3.06,2.95,2.93,2.84,2.76,3.28,3.28,2.95,2.76,2.84,3.06,3.28,2.56,3.24,5.73,3.97,4.85,4.85,5.29,4.41,4.41,4.85,4.41,,4.41,3.86,,4.41,4.41,4.41,4.41,5.29,4.41,3.53,4.41,4.41,4.41,5.29,5.07,4.41,4.85,3.86,4.08,3.86,4.30,,,,,2.98,,4.41
Leche en Polvo entera instant†nea *,360 Gramos,3.76,3.75,3.76,3.76,3.31,3.25,2.15,3.25,3.23,2.98,2.98,2.15,3.45,3.25,2.93,2.96,3.31,3.25,3.25,3.31,3.25,3.76,3.32,3.25,2.15,2.98,2.98,3.31,3.31,3.25,3.25,2.15,3.23,2.89,2.53,2.98,2.98,3.25,2.98,3.31,3.25,2.98,2.98,2.98,3.76,3.25,3.25,3.72,2.53,2.90,2.96,,,3.76,,3.76,3.76,,3.76,3.76,,3.76,3.75,,3.76,3.76,3.76,,3.76,3.76,,,3.76,3.76,,3.76,3.75,3.76,,,,,3.76,3.75,3.75,3.75,3.76,3.57,3.76
Leche Evaporada *,167 Gramos,0.52,0.49,0.48,0.48,0.49,0.49,0.49,0.49,0.47,0.47,0.48,0.49,0.49,0.49,0.46,0.44,0.49,0.49,0.49,0.49,0.49,,0.49,0.49,0.49,0.48,0.48,0.49,0.49,0.49,0.49,0.49,0.46,0.47,0.43,0.48,0.48,0.49,0.71,0.63,0.68,0.46,0.47,0.47,0.48,0.49,0.49,0.49,0.44,0.44,0.44,0.75,0.80,0.75,0.85,0.75,0.75,0.75,0.60,0.75,0.75,0.60,0.75,0.75,0.55,0.50,0.60,0.70,0.70,0.60,0.70,0.75,0.75,0.70,0.60,0.60,0.55,0.60,0.65,,0.75,0.75,0.69,0.75,0.70,0.70,0.48,0.49,0.65
Leche Fresca y Pasteurizada *,946 Mililitros,1.55,1.35,1.49,1.49,1.35,1.40,1.40,1.40,1.33,1.32,1.35,1.40,1.40,1.40,1.27,1.33,1.34,1.35,1.35,1.35,1.35,1.55,1.35,1.40,1.40,1.31,1.32,1.34,1.34,1.35,1.35,1.40,1.37,1.29,1.29,1.35,1.35,1.45,1.33,1.31,1.45,,1.35,1.29,1.34,1.29,1.40,1.35,1.29,1.26,1.29,1.75,1.75,1.55,1.75,1.50,1.50,1.50,1.65,1.60,1.65,1.50,1.65,1.60,1.50,1.65,1.55,1.50,1.50,1.60,1.50,,1.55,1.50,1.50,1.50,1.55,1.65,1.50,,1.65,1.50,1.50,1.50,1.35,1.35,1.45,1.27,1.45
Queso Amarillo *,1 Kilogramos,6.61,6.61,6.61,6.61,,6.21,6.21,6.21,6.19,6.61,6.60,6.21,6.21,6.21,6.19,6.59,6.61,6.21,6.21,6.61,6.61,6.61,6.61,6.21,6.21,6.59,6.60,6.61,6.61,6.21,6.21,6.21,6.19,6.02,6.19,6.61,6.61,6.61,6.59,6.61,6.22,6.59,6.21,6.60,6.61,6.21,6.21,6.21,6.19,,6.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queso Blanco Prensado Bajo en Sal *,1 Kilogramos,11.30,14.49,14.30,14.30,11.49,11.49,15.59,11.49,11.46,11.75,11.75,11.49,11.49,11.49,11.46,9.67,11.69,11.49,11.49,14.49,10.49,11.59,11.69,11.49,11.75,11.31,11.76,,11.69,11.49,11.49,11.49,13.95,10.66,11.10,12.35,12.35,11.49,,,,11.13,,,11.69,9.95,11.49,11.49,11.95,,11.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huevos Medianos de Gallina *,1 Docena,1.74,1.70,1.68,1.68,1.70,1.69,1.67,1.67,1.67,1.69,1.67,1.69,1.69,1.67,1.64,1.64,1.85,1.69,1.69,1.70,1.75,1.74,1.75,1.67,1.67,1.60,1.65,1.68,1.70,1.67,1.69,1.67,1.66,1.67,1.65,1.67,1.67,1.67,1.60,1.70,1.67,1.60,1.65,1.69,1.75,1.69,,1.67,1.58,1.66,1.58,,,,,,2.00,3.00,2.40,2.40,,,1.80,1.75,,1.92,,2.40,,,2.40,2.40,2.40,,2.40,,,2.40,,,1.92,2.00,,,,,,,
Az£car Morena *,1 Kilogramos,1.52,1.23,1.37,1.23,1.15,1.13,0.99,0.99,1.26,,1.50,1.13,1.13,1.13,0.95,0.95,1.23,1.06,1.20,1.23,1.30,1.54,1.23,1.13,1.13,1.13,1.08,1.18,1.23,1.23,1.13,1.13,1.15,1.28,1.08,1.18,1.18,1.06,1.13,1.18,1.13,,,,,,,,1.17,1.23,,1.63,1.50,1.63,,1.54,1.43,,1.63,1.21,,1.63,1.43,1.75,1.43,,1.63,1.63,1.63,1.63,1.63,1.63,1.50,,1.50,1.43,,1.63,1.43,1.25,1.50,1.54,1.25,1.75,1.63,1.63,,,
CafÇ Molido Tradicional *,425 Gramos,5.01,4.75,3.48,3.48,3.85,4.75,2.81,2.81,2.80,4.75,2.94,3.45,3.45,4.75,2.79,2.79,4.75,4.75,4.75,4.75,3.45,5.01,3.85,4.75,4.75,2.79,2.94,2.99,3.85,3.45,2.81,3.45,3.41,2.77,2.78,2.94,2.94,4.99,5.30,5.30,5.29,2.79,2.94,2.94,4.75,2.45,3.45,4.25,2.79,2.77,2.77,5.75,5.95,5.95,6.95,,5.25,,5.50,5.25,,,,5.50,,,5.50,,,,,,5.50,,5.75,,5.00,5.50,,,4.95,,5.35,5.50,5.35,5.95,2.99,2.99,4.25
Jugo de Naranja *,946 Mililitros,1.31,1.29,1.46,1.46,1.26,1.15,1.15,1.15,1.15,1.07,1.15,1.15,1.15,1.15,1.15,1.05,1.13,1.20,1.05,1.29,1.05,1.31,1.29,1.15,1.15,1.27,1.29,1.29,1.26,1.15,1.15,1.15,1.15,1.12,1.13,1.07,1.07,0.99,1.23,1.16,1.15,1.18,1.07,1.15,1.16,1.20,1.14,1.05,1.13,1.07,1.19,1.45,1.40,1.35,1.50,1.35,1.35,1.25,1.35,1.30,1.25,1.25,1.35,1.40,1.35,1.25,1.35,1.25,1.35,1.25,1.25,1.25,1.25,1.25,1.35,1.35,1.35,1.35,1.25,1.25,1.25,1.35,1.35,1.35,1.35,1.25,1.20,,1.25
Mayonesa *,15 Onzas,2.12,2.30,2.26,2.55,2.26,2.49,2.49,2.49,2.21,2.49,2.19,2.47,2.49,2.45,2.47,2.47,2.45,2.49,2.49,2.45,2.45,2.48,2.30,2.49,2.49,2.49,2.19,2.30,2.45,2.49,2.49,2.49,2.43,2.21,2.47,2.49,2.49,2.49,2.49,2.45,2.49,2.49,2.45,2.49,2.45,2.49,2.49,2.49,2.43,2.38,2.43,2.85,,3.25,,2.50,2.75,,,2.75,,2.25,,,,2.60,,,2.75,2.60,2.50,,3.00,2.75,,2.50,2.50,,,2.35,2.50,,2.35,2.65,2.65,2.95,2.49,2.50,
Pasta de Tomate *,113 Gramos,0.50,0.40,0.45,0.45,0.50,0.35,0.35,0.49,0.47,0.49,0.45,0.35,0.35,0.35,0.47,0.33,0.50,0.45,0.45,0.65,0.35,0.50,0.40,0.49,0.35,0.35,0.47,0.49,0.40,0.35,0.35,0.49,0.37,0.48,0.37,0.49,0.49,0.35,0.35,0.50,0.35,0.35,0.45,0.49,0.50,0.35,0.35,0.49,0.26,0.34,0.35,0.75,0.55,0.75,,0.75,0.75,0.85,0.55,0.70,0.65,0.70,0.75,0.70,0.75,0.75,0.75,0.65,0.75,0.70,0.75,0.75,0.75,0.75,0.75,0.75,0.50,0.55,0.70,0.75,0.75,0.75,0.50,0.55,0.75,0.65,,0.35,0.70
Sal  *,1 Kilogramos,0.60,0.55,0.66,0.55,0.55,0.55,0.55,0.55,0.54,,0.55,0.55,0.55,0.55,0.46,0.51,0.55,0.64,0.64,,0.55,0.60,0.55,0.55,0.55,0.49,0.49,0.55,0.55,0.55,0.55,0.55,0.54,0.46,0.44,,0.60,0.55,0.49,0.55,0.55,0.44,0.55,0.57,,0.64,0.55,0.55,0.44,0.44,0.51,0.99,0.88,0.88,1.10,0.99,0.88,1.10,0.99,1.10,0.77,0.77,0.88,0.99,0.88,0.77,0.77,0.77,0.88,0.77,0.77,0.77,0.99,0.88,0.77,0.77,0.77,0.99,0.77,0.77,0.77,0.99,0.77,0.88,0.99,0.77,,0.64,0.77
Salsa de Tomate *,113 Gramos,0.50,0.49,0.65,0.65,0.50,0.35,0.35,0.35,0.34,0.39,0.39,0.35,0.35,0.35,0.33,0.33,0.49,0.35,0.35,0.49,0.35,0.50,0.65,0.35,0.35,0.44,0.39,0.49,0.49,0.35,0.35,0.35,0.33,0.33,0.33,0.49,0.49,0.35,0.44,0.49,0.35,0.50,0.49,0.39,0.65,0.35,0.35,0.45,0.42,0.31,0.42,0.75,0.55,0.75,0.85,0.75,0.65,,0.55,0.70,0.65,0.70,0.75,0.70,0.75,0.75,0.75,0.65,0.75,0.70,0.75,0.75,0.65,0.75,0.75,0.75,0.65,0.55,0.65,0.75,0.65,0.75,0.50,0.55,0.75,0.55,,0.45,0.50
Soda en envase pl†stico *,1 Litros,1.33,1.35,1.29,1.29,1.30,1.25,1.25,1.25,1.24,1.25,1.25,1.25,1.25,1.25,1.23,1.23,1.30,,,1.35,1.25,1.31,1.35,1.25,1.25,1.28,1.25,1.30,1.30,1.25,1.25,1.25,1.23,1.21,1.23,1.30,1.30,1.25,1.28,1.30,1.25,1.10,1.20,1.10,1.15,1.10,1.25,1.25,,,,1.75,1.25,1.45,,1.25,1.25,1.50,1.25,1.35,1.60,1.25,1.25,1.35,1.25,1.25,1.35,1.45,1.25,1.25,1.25,1.25,1.25,1.25,1.35,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.35,1.25,1.25,1.25,1.05,1.15,1.25
Sopa Deshidratada (Pollo y Fideos) *,60 Gramos,0.50,0.45,0.42,0.42,0.50,0.39,0.36,0.36,0.41,0.44,0.44,0.36,0.39,0.39,0.40,0.40,0.45,0.39,0.39,,0.42,0.42,0.50,0.39,0.39,0.40,0.40,0.45,0.45,0.36,0.42,0.36,0.41,0.39,0.38,0.40,0.40,0.40,0.40,0.50,0.42,0.41,0.44,0.49,,0.42,0.42,0.39,0.38,0.41,0.41,0.75,0.75,0.75,0.85,0.75,0.65,0.75,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,,0.65,0.65,0.65,0.65,0.65,0.65,0.60,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,,,,,0.41,0.65,0.59
Te Negro *,36 Gramos,0.90,0.99,0.94,0.94,0.99,0.99,0.99,0.99,0.93,0.98,0.93,0.99,0.99,0.99,0.87,0.91,0.95,0.99,0.99,0.95,0.99,0.90,0.95,0.95,0.99,0.93,0.87,,0.95,0.99,0.99,0.99,0.93,0.90,0.85,0.98,0.98,0.99,0.98,0.95,0.99,0.98,0.98,0.94,0.99,0.95,0.99,0.90,0.93,0.97,0.90,1.45,,1.15,,,1.25,,1.25,,,,,,,,,,,,,,,,,,,1.25,,,,,1.00,1.00,1.25,1.25,1.03,0.90,0.95
