Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 RICARDO J. ALFARO,XTRA RICARDO J. ALFARO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL FUERTE TOCUMEN,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,MINISUPER CD,FRUTER÷A  MIMI,EL CANGREJO VIA ARGENTINA,ABT. JUAN CARLOS - BETHANIA,MINISUPER JANET BETHANIA,ABT. ELENA  BETHANIA,MINISUPER ESTELA BETHANIA,MS EL PROGRESO PARQUE LEFEVRE,MS EL CHEVERE  PAR. LEFEVRE,ABT. PANAMµ VIEJO PAR. LEFEVRE,MINI SUPER MAGIC PAN,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,M/S RICKY LIU,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,M/S CALLE 16,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABARROTER÷A BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES
Manzana Roja Mediana ,1 Unidades,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,0.35,,,,,,,,,,,,,0.65,0.50,,0.50,0.60,,0.60,0.40,,0.50,0.50,0.60,,0.50,,,,0.50,,0.50,0.50,0.60,0.50,0.50,0.50,0.50,,0.50,,,0.50,0.50,0.50,0.60,0.50,,0.50,
Naranja de Jugo,1 Kilogramos,,,,,,0.90,,,,,,0.90,0.90,0.90,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pi§a ,1 Kilogramos,,,,,,1.15,1.15,0.99,,0.99,0.99,1.15,1.15,1.15,,,,1.15,1.15,,1.15,,,1.15,1.15,0.95,,,,1.15,1.25,1.15,1.08,,,0.99,,1.15,0.95,,,,0.99,1.09,,1.15,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aceite Vegetal Nacional ,"1,42 Litros",4.46,4.10,4.22,,3.95,3.99,3.75,3.99,3.57,3.49,3.49,3.59,3.59,3.59,3.48,3.48,3.85,3.59,3.59,,3.59,4.47,3.85,3.75,3.75,3.99,3.49,3.35,3.85,3.75,3.59,3.75,3.73,3.57,3.47,3.49,3.49,3.59,3.99,3.85,3.59,3.99,,3.92,3.85,3.99,3.99,3.99,3.47,3.32,3.34,,5.75,,4.75,4.95,,,,,,,,,,,,,,,4.75,,,5.25,,4.95,,,,,,4.50,4.25,4.50,4.50,4.95,5.45,4.29,4.65
Margarina en barra,1 Kilogramos,5.09,3.99,3.42,3.42,3.28,3.06,3.06,3.28,3.33,5.11,5.11,3.28,3.28,5.05,5.09,5.09,4.85,3.28,3.28,4.85,4.96,2.93,4.85,3.28,3.28,3.37,5.07,3.28,,5.05,5.05,3.31,,5.09,5.09,5.27,3.28,3.20,3.99,,3.06,3.99,3.20,3.35,3.22,3.06,5.05,3.28,,2.95,3.09,,3.86,,6.61,5.73,4.41,5.73,,,,,,5.29,5.51,4.41,,,,,4.41,4.41,4.41,5.73,,4.41,,,4.41,5.18,4.41,4.41,,3.31,2.98,,,5.05,3.20
Leche en Polvo entera instant†nea ,360 Gramos,,3.75,3.76,3.76,3.38,2.99,2.99,2.99,2.97,3.53,3.29,3.29,2.40,2.40,2.97,2.97,3.65,3.29,3.29,3.75,2.99,3.76,3.65,2.99,2.99,3.61,3.29,3.31,3.75,2.35,2.40,2.49,3.73,2.97,2.97,3.29,3.29,2.49,3.33,3.65,3.35,3.33,3.29,3.29,3.65,3.35,3.29,3.35,3.21,,3.21,,3.76,,3.75,3.76,,3.76,3.76,,3.76,3.75,3.76,3.76,3.76,,,,3.76,,,3.76,3.76,3.76,3.76,3.76,3.76,,,,,3.76,3.76,3.75,3.76,3.76,,3.69,3.76
Leche Evaporada ,167 Gramos,0.58,0.59,0.56,0.56,0.59,0.59,0.59,0.59,0.56,0.42,0.42,0.59,0.59,0.59,0.40,0.40,0.55,0.58,0.58,0.59,0.59,0.59,0.59,0.59,0.59,0.49,0.45,0.59,,0.59,0.58,0.59,0.73,0.47,0.43,0.52,0.52,0.59,0.72,0.75,0.69,0.82,0.62,0.62,0.59,0.59,0.58,0.59,0.56,0.56,0.56,0.85,0.75,0.90,0.85,0.75,0.85,0.60,,0.80,0.75,0.80,0.65,0.75,0.70,0.85,0.75,0.70,0.75,0.85,0.65,0.65,0.70,0.65,0.85,0.60,0.85,0.75,0.80,0.75,0.85,0.55,0.75,0.75,0.75,0.75,0.59,0.69,0.60
Leche Fresca y Pasteurizada ,946 Mililitros,1.60,1.43,1.49,1.49,1.43,1.48,1.48,1.48,1.47,1.29,1.29,1.48,1.48,1.48,1.54,1.57,1.49,1.48,1.48,1.43,1.48,1.51,1.49,1.48,1.48,1.45,1.40,1.43,1.57,1.48,1.48,1.48,1.59,1.43,1.38,1.42,1.43,1.48,1.45,1.40,1.49,1.45,1.39,1.42,1.40,1.48,1.48,1.48,1.43,1.38,1.37,1.25,1.65,1.76,1.60,1.60,1.60,1.60,1.60,,,,1.65,1.65,1.65,1.65,,,,,1.60,1.65,1.60,1.75,,1.55,,,1.50,1.65,1.75,1.50,1.50,1.60,1.50,1.55,1.55,1.45,1.65
Queso Amarillo ,1 Kilogramos,6.61,6.61,6.61,6.61,,6.61,6.61,6.61,6.19,6.61,6.61,6.61,,,6.59,6.59,6.61,6.61,6.61,6.61,6.21,6.61,6.61,6.21,6.61,6.59,6.60,6.61,,6.61,6.21,6.61,6.59,6.57,6.19,6.60,6.60,6.61,6.59,6.61,6.21,6.59,,6.11,,6.21,6.21,6.61,,,6.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.61,
Queso Blanco Prensado Bajo en Sal *,1 Kilogramos,14.69,8.81,14.48,14.48,8.81,,,12.19,12.04,11.75,11.75,11.75,,,11.73,14.30,7.27,12.15,12.15,15.59,12.49,12.68,7.27,12.49,12.49,14.33,11.75,12.21,,11.99,12.15,11.99,,11.75,11.75,11.75,11.99,12.15,8.87,16.00,14.99,11.33,11.75,11.39,12.04,12.15,12.15,14.99,11.75,,11.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.96,,
Huevos Medianos de Gallina ,1 Docena,1.89,1.95,1.87,1.87,1.95,1.89,1.89,1.89,1.85,2.05,2.05,2.05,1.89,1.89,1.93,1.80,1.90,1.89,2.05,1.95,1.89,1.89,1.90,1.89,1.89,1.69,1.95,1.90,1.95,2.05,2.05,2.09,1.88,1.90,1.90,1.99,2.05,1.89,1.84,1.90,2.05,1.84,2.05,2.05,1.90,1.89,1.89,1.89,1.90,1.79,1.88,2.75,,,2.40,2.40,3.00,2.40,2.25,2.00,2.00,2.00,2.40,1.92,2.00,2.40,2.40,2.00,,,2.40,2.40,2.40,2.40,,,2.50,2.00,2.00,2.40,2.40,2.40,1.95,,,,1.85,,
Az£car Morena ,1 Kilogramos,1.68,,,,1.88,1.25,1.25,1.25,1.58,1.37,1.37,,1.30,1.30,1.06,1.06,,,,,,1.65,,,,1.35,1.53,1.35,,1.30,1.30,1.30,,1.60,1.53,1.37,,1.30,,,,,,,,,,,1.80,1.59,1.80,1.88,,,1.88,1.88,1.88,1.88,1.63,1.88,1.88,1.88,1.88,,,,1.88,1.75,1.75,1.75,1.88,1.75,1.88,1.88,1.63,1.63,1.88,1.88,,1.50,1.88,1.88,,,,,,,
CafÇ Molido Tradicional ,425 Gramos,5.01,4.80,4.00,4.00,5.13,,,5.25,5.21,2.94,2.94,5.25,5.25,5.25,2.79,2.79,4.45,5.25,5.25,4.80,5.25,6.25,4.45,5.25,5.25,2.79,2.89,4.75,5.55,3.45,3.05,3.45,5.03,2.77,2.78,3.57,3.57,5.25,2.79,4.80,3.45,2.89,2.94,5.98,5.13,2.81,3.45,5.25,2.77,2.85,2.77,6.75,6.95,5.90,5.85,6.25,,6.00,,,,,,,,6.00,,6.00,,,,6.60,,6.15,,5.95,,,,5.45,,5.75,5.95,5.95,5.95,5.95,2.99,2.99,4.65
Jugo de Naranja ,946 Mililitros,1.25,1.05,1.35,1.35,1.21,1.25,1.25,1.25,1.12,1.19,1.22,1.25,1.25,1.25,1.21,1.12,1.05,1.25,1.25,1.05,1.25,1.23,1.05,1.25,1.25,1.24,1.19,1.20,1.05,1.25,1.25,1.25,1.12,1.20,1.20,1.19,1.19,1.25,1.22,1.18,1.19,1.24,1.22,1.22,1.05,1.25,1.25,1.25,1.12,,,1.50,1.45,1.45,1.40,1.35,1.35,1.35,1.25,,1.35,,1.35,1.25,1.35,1.40,,1.35,1.25,,1.35,1.35,1.25,1.35,1.35,1.25,1.35,1.45,1.25,1.25,1.35,1.35,1.35,1.35,1.35,1.45,1.29,1.35,1.35
Mayonesa ,15 Onzas,2.48,2.45,2.35,2.85,2.45,2.75,2.75,2.75,2.43,2.39,2.40,2.75,2.75,2.75,2.47,2.79,2.45,2.75,2.75,2.95,2.75,2.48,2.45,2.75,2.75,2.78,2.75,2.94,2.94,2.75,2.75,2.75,,2.79,2.73,2.77,2.77,2.75,2.49,2.45,2.75,2.78,2.43,2.29,,2.75,1.75,2.75,2.27,2.30,2.77,,3.65,,,2.75,,,2.70,,,,,2.65,2.65,,,,2.60,,,3.00,2.95,,,2.50,,,2.58,,,,2.50,2.65,2.65,2.95,,2.49,2.65
Pasta de Tomate ,113 Gramos,0.55,0.62,0.59,0.59,0.61,0.39,0.39,0.39,0.37,0.43,0.43,0.39,0.39,0.39,0.33,0.33,0.61,0.39,0.39,0.42,0.35,0.55,0.61,0.39,0.39,0.39,0.43,0.44,0.53,0.35,0.39,0.39,0.59,0.37,0.37,0.43,0.43,0.39,0.39,0.44,0.35,0.39,0.49,0.43,0.49,0.39,0.64,0.39,0.42,0.42,0.42,0.75,0.85,0.65,0.75,0.65,0.85,0.55,0.80,0.75,0.70,0.75,0.75,0.75,0.80,0.75,0.75,0.75,0.70,0.75,0.75,0.65,0.75,0.75,0.75,0.65,0.75,0.75,0.75,0.75,0.75,0.70,0.60,0.60,0.75,0.65,,0.49,0.60
Sal  ,1 Kilogramos,0.60,0.55,0.57,0.57,0.57,0.64,0.64,0.55,0.51,0.46,0.51,0.55,0.55,0.55,0.46,0.46,0.60,0.64,0.64,0.60,0.77,0.60,0.60,0.51,0.51,0.49,0.51,0.55,0.64,0.55,0.64,0.55,0.53,0.55,0.44,0.49,0.60,0.55,0.49,0.57,0.64,0.49,0.49,0.55,0.57,0.64,0.55,0.55,0.51,0.40,0.42,1.10,0.99,0.88,1.10,0.88,1.10,0.99,1.10,0.88,0.88,0.88,0.88,0.77,0.77,0.99,0.77,0.88,0.77,0.88,0.88,0.99,0.88,0.88,0.88,0.88,1.10,0.88,0.99,0.77,1.10,0.77,0.77,0.88,1.10,0.99,0.64,0.55,0.99
Salsa de Tomate ,113 Gramos,0.55,0.55,0.71,0.71,0.53,0.39,0.39,0.39,0.34,0.53,0.48,0.39,0.39,0.39,0.33,0.33,0.49,0.39,0.39,0.49,0.35,0.55,0.49,0.39,0.39,0.50,0.43,0.49,0.35,0.39,0.39,0.39,0.57,0.42,0.33,0.43,0.43,0.39,0.50,0.44,0.35,0.50,0.54,0.43,0.49,0.39,0.39,0.39,0.45,0.45,0.45,0.75,0.85,0.65,0.75,0.65,0.85,0.55,0.65,0.75,0.70,0.75,0.75,0.75,0.75,0.70,0.75,0.75,0.70,0.75,0.75,0.65,0.75,0.75,0.75,0.75,,0.75,0.60,0.75,0.75,0.70,0.65,0.60,0.75,0.65,,0.49,0.60
Soda en envase pl†stico ,1 Litros,1.35,1.30,1.10,1.10,1.10,1.25,1.09,,1.13,1.17,1.17,1.29,1.29,1.29,1.45,1.29,1.30,1.30,1.48,1.60,1.29,1.13,1.30,1.29,1.29,1.26,1.17,1.30,,1.29,1.29,1.29,,1.23,1.15,1.17,1.17,1.29,0.85,1.45,0.75,1.23,1.17,1.17,1.47,1.09,,1.29,1.15,1.09,1.15,1.85,,1.70,1.65,1.50,1.50,1.35,1.25,1.65,1.50,1.25,1.65,1.25,1.50,1.65,1.50,1.75,1.50,,1.60,1.50,1.25,1.50,1.50,1.35,1.65,1.60,,1.60,1.75,1.35,1.55,1.50,1.50,1.25,,,1.35
Sopa Deshidratada (Pollo y Fideos) ,60 Gramos,,0.65,0.44,0.44,0.65,0.44,0.44,0.44,0.42,0.49,0.51,0.44,0.44,0.44,0.48,0.48,0.49,0.49,0.49,0.60,0.44,0.42,0.49,0.44,0.44,0.42,0.43,0.63,,0.44,0.40,0.44,,0.38,0.48,0.43,0.43,0.49,0.42,0.45,0.44,0.42,0.49,0.43,0.45,0.44,0.44,0.49,0.38,0.38,0.38,0.75,0.75,0.75,0.75,0.65,0.75,0.65,0.70,,,,,0.75,0.70,0.65,,,,,0.65,0.65,0.60,0.65,,0.65,,,0.65,0.70,0.75,0.60,,,0.75,,0.38,,0.65
Te Negro ,36 Gramos,1.25,0.85,0.97,0.97,0.95,0.99,0.99,0.99,0.83,0.83,0.85,0.99,0.99,0.99,0.83,0.83,0.84,0.99,0.99,1.20,0.99,0.91,0.84,0.99,0.95,0.98,0.83,0.84,,0.99,0.99,0.99,0.88,0.96,0.87,0.84,0.89,1.09,0.98,0.84,0.99,0.98,0.92,0.97,0.84,0.99,0.99,0.99,0.90,0.88,0.90,,,1.00,,,,1.25,0.95,,,,,,,,,,,,,,,,,1.00,,,,0.90,,,1.00,,1.50,1.25,1.29,1.05,1.25
