Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 RICARDO J. ALFARO,XTRA RICARDO J. ALFARO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL FUERTE TOCUMEN,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,MINISUPER CD,ABA EL CANGREJO/ BELLA VISTA,FRUTER÷A  MIMI,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER  EL PROGRESO ,MINISUPER  EL CHEVERE ,ABT. PANAMµ VIEJO,MINI SUPER MAGIC PAN,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO ,MIINIMARKET VICKY,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,M/S CALLE 16,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABARROTER÷A BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES
Naranja de Jugo *,1 Kilogramos,,,,,,,0.90,,0.88,0.72,,,,,0.86,0.86,,0.90,,,,,,0.90,,,,,,,0.90,,0.88,,0.70,,,,,,,,,,,,,,0.71,0.71,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pi§a *,1 Kilogramos,0.80,,0.90,0.90,,0.99,1.15,1.15,,0.99,,1.15,1.15,1.15,,,,1.15,1.15,,1.15,0.80,,1.15,1.15,0.95,0.99,,,1.15,1.15,1.15,,,,0.85,0.85,1.15,,,,0.97,,0.85,,1.15,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aceite Vegetal Nacional *,"1,42 Litros",4.86,3.85,5.13,5.13,3.85,3.89,3.89,3.79,3.87,3.49,3.49,3.89,3.89,3.89,3.47,3.47,3.85,3.89,3.39,3.85,3.89,,3.85,3.89,3.89,3.99,3.49,3.85,3.85,3.89,3.89,3.89,3.83,3.47,3.47,3.49,3.49,3.39,4.48,3.85,3.89,3.99,4.91,4.39,3.85,3.79,3.79,3.89,3.47,3.40,3.48,,,5.75,,4.95,,4.25,,5.00,,,,,4.95,,,,,,,5.10,,5.25,5.00,3.95,4.95,4.75,,,,3.85,4.95,4.50,,4.95,5.10,4.29,5.45
Margarina en barra*,1 Kilogramos,3.35,3.28,3.42,3.70,4.85,3.31,3.86,3.31,4.96,4.08,3.28,3.86,3.86,3.86,3.24,3.81,3.22,3.86,3.86,4.85,4.96,3.35,3.28,3.86,3.86,3.99,4.08,3.28,4.85,4.08,3.86,3.86,4.81,3.17,3.15,4.08,4.08,3.86,3.99,,,3.99,4.30,,3.22,3.86,,4.08,3.24,3.11,3.24,6.61,5.73,6.06,6.17,5.29,5.73,5.29,5.73,5.73,5.29,6.61,6.17,5.29,5.73,4.19,5.73,5.51,5.73,3.09,5.29,5.29,5.73,6.17,5.95,5.73,6.17,6.17,4.96,5.51,4.41,5.29,,,,,,3.73,4.30
Leche en Polvo entera instant†nea *,360 Gramos,3.76,3.67,3.76,3.76,3.75,2.49,2.49,2.49,3.53,3.29,3.29,2.49,2.49,2.49,3.37,3.45,3.75,2.49,2.49,3.75,3.29,3.76,3.75,2.49,3.75,3.61,3.29,3.31,3.65,2.49,2.49,2.49,3.73,3.47,3.47,3.29,3.29,2.49,3.62,3.65,3.75,3.61,3.29,3.29,3.65,3.75,3.59,3.75,3.60,3.51,3.55,,,3.76,3.76,3.76,,3.76,3.76,,3.76,,,3.76,3.76,,,,3.75,,,3.76,,3.76,3.76,3.76,,,,,,3.76,3.76,3.75,3.76,3.76,3.49,3.69,
Leche Evaporada *,167 Gramos,0.62,,0.61,0.61,0.64,0.60,0.60,0.60,0.58,0.62,0.58,0.60,0.60,0.60,0.50,0.56,0.63,0.60,0.60,0.61,0.60,0.59,0.61,0.60,0.60,0.60,0.53,0.64,0.63,0.60,0.60,0.60,0.58,0.53,0.53,0.62,0.62,0.60,0.80,0.77,0.75,0.60,0.53,0.52,0.63,0.60,0.60,0.60,0.50,0.49,0.50,0.85,0.85,0.85,0.85,0.70,0.85,0.60,0.75,0.65,0.75,0.80,0.65,0.65,0.70,0.85,0.70,0.70,0.60,0.85,0.65,0.65,0.65,0.65,0.65,0.60,0.65,0.60,0.65,0.75,0.85,0.55,0.75,0.75,0.85,0.75,0.59,,0.60
Leche Fresca y Pasteurizada *,946 Mililitros,1.60,1.43,1.49,1.49,,1.48,1.48,1.48,1.41,1.29,1.42,1.48,1.48,1.48,1.40,1.55,1.55,1.48,1.48,1.43,1.48,1.59,1.43,1.48,1.48,1.45,1.54,1.43,1.40,1.48,1.48,1.48,1.38,1.38,1.38,1.42,1.42,1.48,1.45,1.40,1.48,1.45,1.39,1.45,1.40,1.48,1.48,1.48,1.38,1.34,1.52,,1.75,1.55,1.50,1.50,1.60,1.60,1.65,1.75,1.70,1.65,1.65,1.65,1.65,1.75,1.50,1.60,1.60,1.65,1.60,1.65,1.60,1.75,1.55,1.55,1.60,1.65,1.55,1.65,1.75,1.60,1.50,1.65,1.70,1.55,1.45,1.55,1.70
Queso Amarillo *,1 Kilogramos,6.61,,6.61,6.61,,6.61,,6.61,6.19,6.61,6.61,6.61,6.61,6.21,6.59,,6.61,6.21,6.61,,6.61,6.61,,6.61,6.21,6.59,6.60,,,6.61,6.61,6.61,6.59,6.57,6.57,6.60,6.60,6.61,6.59,,6.61,6.39,6.61,6.61,,6.21,6.21,6.61,6.57,,6.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.61,
Queso Blanco Prensado Bajo en Sal *,1 Kilogramos,12.67,,14.30,14.30,12.15,12.49,14.99,12.49,12.47,11.75,9.89,12.49,11.75,,11.66,11.66,7.27,12.49,12.49,8.81,11.75,,7.27,12.49,11.75,16.27,11.75,12.65,12.04,12.49,12.19,12.49,11.86,11.31,11.75,9.62,11.99,12.49,,15.85,11.75,11.05,11.75,11.75,7.27,14.99,12.19,12.99,10.75,,11.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.09,
Huevos Medianos de Gallina *,1 Docena,,2.09,1.87,1.87,1.90,2.09,2.09,2.09,1.90,1.95,1.99,2.09,2.09,1.89,1.85,1.85,2.25,2.09,2.09,2.15,2.09,1.90,2.05,2.09,2.09,1.92,1.95,1.90,1.90,2.09,2.09,2.09,1.95,1.97,1.90,1.99,1.95,2.09,1.92,2.09,2.09,1.92,1.95,1.95,1.90,2.09,1.89,2.09,1.95,1.79,,,2.40,,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,2.40,,2.40,2.40,2.40,1.92,2.40,2.40,2.40,2.40,2.40,1.92,1.92,2.40,2.40,,,,,1.85,1.89,2.15
Az£car Morena *,1 Kilogramos,1.68,1.37,1.45,1.45,1.35,1.30,1.30,1.30,1.59,1.37,1.37,1.63,1.30,1.30,1.23,1.10,1.35,1.30,1.30,1.50,1.30,1.65,1.21,1.30,1.30,1.40,1.33,1.25,1.25,1.63,1.30,1.30,1.59,1.28,1.30,1.37,1.37,1.30,,,,,,,,,,,1.59,1.59,1.59,2.00,2.13,2.13,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.63,1.88,2.13,1.88,1.75,1.75,1.75,1.88,1.75,1.63,1.88,1.75,1.63,2.13,1.88,1.88,1.50,1.88,1.88,,,,,,,
CafÇ Molido Tradicional *,425 Gramos,5.01,4.80,4.00,4.00,4.80,5.25,5.25,5.25,2.79,5.25,3.15,3.45,3.45,5.25,2.79,2.79,4.80,3.42,3.45,3.05,3.45,6.26,3.55,5.25,3.45,2.79,5.25,5.13,4.80,3.45,2.81,3.45,3.43,2.77,2.78,5.25,3.57,5.25,2.79,5.13,2.81,2.79,5.32,5.27,5.13,2.81,5.25,5.25,2.77,3.09,2.77,6.75,5.25,6.95,,6.25,,6.00,5.65,,5.75,,,,,5.95,,,,,,5.75,,6.25,5.25,5.95,,5.95,,5.45,,5.75,5.95,5.95,5.95,5.95,2.49,2.99,4.65
Jugo de Naranja *,946 Mililitros,1.25,1.21,1.39,1.39,1.20,1.25,1.25,1.25,1.21,1.22,1.22,1.25,1.25,1.25,1.21,1.21,1.25,1.25,1.25,1.21,1.25,1.25,1.21,1.25,1.25,1.24,1.22,1.20,1.20,1.25,1.25,1.25,1.21,1.20,1.20,1.22,1.19,1.25,1.22,1.18,1.19,1.24,,1.29,1.19,1.25,1.25,1.25,1.21,1.15,1.21,1.50,1.45,1.35,1.45,1.35,1.50,1.35,1.40,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.25,1.35,1.30,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.45,1.30,1.25,1.50,1.35,1.35,1.35,1.25,1.25,1.29,1.35,1.35
Mayonesa *,15 Onzas,2.76,3.00,2.83,2.83,2.45,2.99,2.75,2.75,2.73,2.31,2.31,2.99,2.75,2.75,2.29,2.29,2.94,2.75,2.75,3.00,2.52,2.69,3.00,2.75,2.75,2.79,2.65,2.94,2.94,2.79,2.75,2.79,1.97,2.63,2.63,2.80,2.80,2.75,2.78,2.94,,2.78,2.74,2.74,2.79,2.44,2.79,,2.60,2.62,2.60,3.25,,3.25,,2.75,,,,,,,,2.85,2.95,,,,2.60,,,,2.95,,2.75,,,2.75,,,,,,,,,2.49,2.75,2.65
Pasta de Tomate *,113 Gramos,0.55,0.45,0.59,0.59,0.44,0.35,0.39,0.39,0.37,0.43,0.43,0.39,0.39,0.39,0.38,0.38,0.44,0.39,0.39,0.44,0.35,0.55,0.44,0.39,0.35,0.39,0.43,0.44,0.44,0.35,0.39,0.39,0.37,0.37,0.37,0.43,0.43,0.39,,,,0.39,0.43,0.43,0.44,0.39,0.39,0.39,0.45,0.40,0.40,0.75,0.60,0.85,0.75,0.75,0.85,0.75,0.65,0.75,0.75,0.75,0.65,0.75,0.75,0.75,0.75,0.75,0.70,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.65,0.75,0.55,0.75,0.70,1.10,1.15,0.75,0.75,0.55,0.49,0.60
Sal  *,1 Kilogramos,0.62,0.55,0.64,0.66,0.55,0.55,0.64,0.55,0.55,0.46,0.64,0.55,0.77,0.55,0.55,0.46,0.55,0.55,0.77,0.55,0.55,0.60,0.55,0.64,0.64,0.49,0.49,0.55,0.57,0.55,0.55,0.64,0.53,0.44,0.44,0.53,0.49,0.64,0.49,0.55,0.55,0.55,0.49,0.57,0.57,0.55,0.55,0.55,0.44,0.44,,1.10,0.88,0.88,1.10,0.88,1.10,0.99,1.10,0.88,0.88,0.99,0.88,0.77,0.88,1.10,0.77,0.77,0.77,0.88,0.77,0.99,0.88,0.88,0.88,0.88,1.10,0.88,0.88,0.77,1.10,0.77,0.77,0.88,0.99,0.99,0.64,0.66,0.99
Salsa de Tomate *,113 Gramos,0.55,0.49,0.71,0.71,0.53,0.35,0.39,0.39,0.34,0.43,0.43,0.39,0.39,0.39,0.33,0.33,0.49,0.39,0.39,0.45,0.35,0.55,0.49,0.39,0.35,0.50,0.43,0.53,0.53,0.35,0.39,0.39,0.45,0.37,0.37,0.43,0.43,0.39,,,,0.54,0.43,0.43,0.53,0.39,0.39,0.39,0.45,0.44,0.44,0.75,0.60,0.85,0.75,0.65,0.85,0.55,0.65,0.75,0.70,0.75,0.65,0.75,0.75,0.85,0.75,0.75,0.70,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.65,0.60,0.55,0.75,0.70,,0.75,0.85,0.85,0.55,0.49,0.60
Soda en envase pl†stico *,1 Litros,1.58,1.50,1.42,1.42,1.47,1.29,1.29,1.29,1.29,1.54,1.17,1.29,1.29,1.29,1.15,1.15,1.30,1.48,1.29,1.30,1.25,1.30,1.55,1.29,1.09,1.30,1.17,1.30,1.47,1.48,1.29,1.29,1.27,1.15,1.15,1.54,1.17,1.29,0.85,1.47,0.75,1.10,0.98,1.55,1.30,1.09,1.29,1.25,1.15,1.13,1.15,1.85,1.75,1.45,1.65,1.50,1.60,1.35,1.50,1.65,1.65,1.75,1.65,1.25,1.50,1.65,1.50,1.75,1.50,1.65,1.45,1.25,1.35,1.50,1.50,1.50,1.65,1.60,1.50,1.60,1.75,1.50,1.55,1.50,1.50,1.25,,1.15,1.35
Sopa Deshidratada (Pollo y Fideos) *,60 Gramos,0.60,0.75,0.44,0.44,0.65,0.35,0.35,0.35,0.40,0.49,0.49,0.39,0.39,0.35,0.38,0.40,0.44,0.35,0.49,0.65,0.67,0.59,0.65,0.35,0.65,0.46,0.43,0.67,0.44,0.44,0.44,0.49,0.47,0.38,0.38,0.43,0.43,0.44,0.42,0.45,0.44,0.42,0.49,0.43,0.45,0.44,0.59,0.39,0.38,0.44,,0.75,0.75,0.75,0.75,0.65,0.75,0.65,0.75,0.70,0.65,0.65,0.75,0.75,0.70,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.75,0.65,0.70,0.75,0.65,,0.75,,,0.45,0.45,0.65
Te Negro *,36 Gramos,0.91,0.85,0.97,0.97,0.95,0.99,0.99,0.99,0.83,0.83,0.83,0.99,0.99,0.99,0.81,0.81,0.84,0.99,0.99,0.95,0.99,0.91,0.85,0.99,0.99,0.98,0.83,0.84,0.84,0.99,0.99,0.99,1.03,0.81,0.81,0.89,0.89,0.93,0.98,0.84,0.99,0.98,0.92,0.89,0.84,0.99,0.99,0.99,0.90,0.88,0.90,,,,,,,1.25,0.95,,,,,,,,,,,,,,,,1.50,1.25,,1.15,,,,,1.00,1.00,1.25,1.25,,1.05,
