Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 RICARDO J. ALFARO,XTRA RICARDO J. ALFARO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL FUERTE TOCUMEN,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,MINISUPER CD,ABA EL CANGREJO/ BELLA VISTA,FRUTER÷A  MIMI,MINI MARKET ONLY,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMµ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABARROTER÷A BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES
Manzana Roja Mediana *,1 Unidades,,,0.50,0.50,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,0.35,,,,,,,,,,,,,0.60,0.50,0.50,0.65,0.50,0.50,,0.60,0.40,0.50,0.50,0.50,,0.50,0.50,0.50,,,0.50,,0.50,0.55,0.50,0.50,0.50,,0.50,,,0.50,,,0.50,0.50,0.50,0.50,0.50,,0.35
Naranja de Jugo *,1 Kilogramos,,,0.95,,,,0.90,0.90,,0.79,0.79,0.90,0.90,0.90,0.77,0.80,,,,,0.90,,,,0.90,0.83,0.79,,,0.90,0.90,0.90,0.88,0.81,0.88,,,,,,0.90,0.78,,,,0.90,0.90,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pi§a *,1 Kilogramos,,,0.90,0.90,,0.99,1.15,1.15,,0.99,0.99,1.15,1.15,1.15,,,,1.15,1.15,,1.15,0.98,,1.15,1.15,0.95,,,,0.99,,1.15,,,,,,,,,,0.87,,,,1.15,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aceite Vegetal Nacional *,"1,42 Litros",4.46,3.55,4.22,4.22,3.35,3.35,3.35,3.35,3.33,3.98,3.98,3.35,3.35,3.35,3.32,3.33,3.89,3.59,3.59,3.35,3.35,4.47,,3.59,3.35,3.99,3.49,3.35,3.35,3.35,3.35,3.35,3.33,3.33,3.33,,4.97,,3.99,3.35,3.59,3.99,,3.67,3.89,3.99,3.99,3.89,3.33,3.18,3.33,,,,,,4.95,,,,,,,,,,4.75,,,,,4.75,,,4.75,4.50,4.95,,,,,,,4.25,4.50,4.50,4.65,4.45,,4.65
Margarina en barra*,1 Kilogramos,2.93,3.15,3.04,3.04,3.28,2.98,2.84,2.84,2.76,2.76,3.20,2.98,2.84,2.84,2.76,3.28,3.04,3.42,2.98,3.15,2.84,2.93,3.04,2.98,2.84,2.89,2.76,3.28,3.09,2.98,2.84,2.84,2.76,2.76,2.76,,,,2.89,3.04,2.84,2.89,2.91,,3.04,2.98,2.84,2.84,2.76,2.76,2.76,5.73,3.97,3.86,,5.29,5.29,4.41,4.41,,5.29,5.29,4.41,5.73,5.29,5.29,4.41,,,4.41,4.19,4.41,4.41,4.41,4.41,4.96,4.41,4.41,,,,,,,,4.41,,3.09,,3.20
Leche en Polvo entera instant†nea *,360 Gramos,3.76,3.55,3.76,3.76,3.31,2.35,2.35,3.35,3.33,3.62,3.29,2.35,2.40,2.35,3.33,3.33,3.31,3.29,3.29,3.38,2.35,3.76,3.31,3.29,3.29,3.33,3.29,3.31,3.31,2.35,2.35,2.40,3.33,3.31,3.31,3.16,3.16,3.75,3.30,3.38,3.35,3.33,3.29,3.29,,3.29,3.29,3.29,3.31,3.19,3.31,,,3.76,,3.76,3.76,,,3.76,,3.76,3.75,,,,3.76,,,3.76,,,3.75,3.76,3.76,,3.75,3.76,,,,3.75,,3.76,3.75,3.76,3.75,3.25,3.69,3.76
Leche Evaporada *,167 Gramos,0.55,0.59,0.53,0.53,0.59,0.58,0.58,0.58,0.56,0.52,0.52,0.50,0.50,0.50,0.48,0.48,0.55,0.50,0.50,0.59,0.58,,0.55,0.50,0.58,0.49,0.44,0.59,0.55,0.50,0.58,0.58,0.48,0.47,0.47,0.69,0.69,0.68,0.72,0.75,0.68,0.49,0.52,0.52,0.59,0.50,0.50,0.50,0.47,0.43,0.47,0.85,0.90,0.75,0.85,0.75,0.70,0.85,0.60,0.75,0.75,0.70,0.75,0.75,0.65,0.65,0.65,0.75,0.70,0.60,0.80,0.65,0.65,0.65,0.60,0.75,0.60,0.65,0.75,0.75,0.75,0.75,,0.75,0.75,0.75,0.75,0.55,0.49,0.60
Leche Fresca y Pasteurizada *,946 Mililitros,1.55,1.49,1.49,1.49,1.43,1.45,1.45,1.45,1.40,1.45,1.29,1.40,1.45,1.45,1.27,1.29,1.49,1.40,1.40,1.49,1.45,1.51,1.39,1.40,1.45,1.45,1.45,1.43,1.40,1.45,1.45,1.45,1.38,1.43,1.26,1.32,1.60,1.52,1.45,1.42,1.35,1.40,1.35,1.35,1.46,1.45,1.45,1.35,1.33,,1.33,1.75,1.75,1.55,1.75,1.50,1.50,1.60,1.60,1.60,1.65,1.60,1.65,1.65,1.65,1.65,1.60,1.65,1.60,1.60,1.50,1.60,1.55,1.50,1.50,1.55,1.55,1.50,1.65,1.55,1.50,1.65,,1.50,1.50,1.50,1.35,1.45,1.45,1.55
Queso Amarillo *,1 Kilogramos,6.61,,6.61,6.61,6.61,6.21,6.61,6.21,6.59,6.60,6.60,6.21,6.61,6.21,6.59,6.59,6.61,6.21,6.21,,6.21,6.61,6.61,6.21,6.21,6.59,6.60,6.61,6.61,6.61,6.21,6.61,6.19,6.19,6.57,6.61,6.61,6.61,6.59,6.61,6.21,6.59,6.60,6.60,6.61,6.21,6.21,6.21,6.19,,6.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.61,
Queso Blanco Prensado Bajo en Sal *,1 Kilogramos,12.67,,14.48,14.48,15.59,11.99,12.15,12.15,11.67,11.99,11.99,11.99,11.99,11.99,14.74,11.96,8.81,11.49,11.49,16.00,11.75,15.27,11.99,11.99,11.75,14.33,11.75,11.69,15.85,14.99,14.39,11.75,,10.96,11.03,,,,8.45,11.69,11.99,11.31,9.42,11.99,8.81,14.99,14.99,14.99,11.95,,7.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.99,14.89,
Huevos Medianos de Gallina *,1 Docena,1.89,1.95,1.87,1.87,1.90,1.89,1.89,1.89,1.80,2.05,2.05,1.69,1.89,1.69,1.80,1.75,1.80,1.89,1.89,2.00,1.89,1.89,1.80,1.89,1.89,1.72,1.95,1.95,1.95,1.89,1.89,1.89,1.80,1.73,1.80,2.05,2.15,1.89,1.80,1.95,1.87,1.80,2.05,2.05,1.90,1.87,1.89,1.89,1.76,1.59,1.80,2.75,3.00,,3.00,1.80,2.40,1.92,1.92,2.40,2.40,2.40,2.40,1.92,2.40,2.40,2.40,,,,2.40,2.40,1.92,1.92,2.40,2.40,1.80,2.40,2.40,,,,,1.65,,,,,1.68,
Az£car Morena *,1 Kilogramos,1.58,1.33,1.45,1.45,1.50,1.28,1.23,1.28,1.53,1.37,1.37,1.28,1.33,1.33,1.08,1.23,,,1.48,1.50,1.28,1.65,,,1.40,1.35,1.33,1.53,1.53,1.28,1.28,1.28,1.41,1.41,1.41,1.37,,1.40,,,,,,,,,,,1.41,1.37,1.41,1.65,,1.88,2.13,1.88,1.88,1.88,1.88,,,,1.88,1.88,1.88,,1.88,,1.75,,,1.88,1.75,,1.88,1.63,1.63,1.88,1.88,1.88,1.88,1.50,1.88,,,,,,,
CafÇ Molido Tradicional *,425 Gramos,5.01,5.23,3.67,3.67,3.95,2.81,5.15,5.25,2.79,2.94,2.94,3.45,5.25,4.99,2.79,2.79,4.75,3.45,3.45,3.95,5.25,5.01,4.75,3.45,5.25,2.79,2.94,4.45,3.95,5.25,2.81,3.45,5.23,2.77,2.89,4.72,5.25,5.25,2.79,3.95,3.45,5.38,4.75,4.75,5.13,4.75,2.81,4.75,2.77,2.83,2.77,6.75,5.90,6.95,6.95,,6.25,,6.00,,5.50,,,5.50,,,,,,,,,6.25,,5.95,5.25,5.95,,,,,5.45,,5.95,5.95,,5.95,2.99,2.99,
Jugo de Naranja *,946 Mililitros,1.23,1.15,1.36,1.36,1.14,1.25,1.25,1.25,1.12,,1.19,1.19,1.15,1.15,1.08,1.12,1.17,1.19,1.19,1.15,1.25,1.19,1.17,1.19,1.25,1.22,1.19,1.15,1.12,1.25,1.19,1.25,1.15,1.13,1.17,,1.19,1.25,1.22,1.15,1.19,1.18,,1.12,1.17,1.25,1.25,1.15,1.17,,1.17,1.45,1.45,1.45,1.50,1.35,1.35,1.35,1.35,1.25,1.35,1.35,1.35,1.40,1.35,1.35,1.35,1.25,1.35,1.25,1.25,1.35,1.25,,1.35,1.35,1.35,1.35,1.45,,1.25,,,1.35,1.35,1.35,1.25,,1.29,1.35
Mayonesa *,15 Onzas,2.48,2.45,2.55,2.55,2.60,2.49,2.54,2.49,2.47,2.39,2.42,2.49,2.49,2.49,2.40,2.40,2.45,2.49,2.49,2.45,2.49,2.48,2.45,2.49,2.49,2.49,2.29,2.45,2.45,2.49,2.49,2.49,2.43,2.47,2.31,,2.32,2.49,2.49,2.45,2.49,,,,2.30,1.75,1.75,1.75,,,,2.95,,,,2.50,,,,,,,,,,2.75,2.65,,,2.50,2.50,,2.45,2.95,,2.50,2.50,,,,2.58,,,2.50,2.65,2.65,2.95,2.79,,1.99
Pasta de Tomate *,113 Gramos,0.55,0.55,0.59,0.59,0.44,0.52,0.39,0.39,0.37,0.43,0.43,0.39,0.39,0.39,0.33,0.33,0.65,0.39,0.39,0.44,0.35,0.62,0.65,0.35,0.35,0.39,0.43,0.40,0.44,0.35,0.39,0.39,0.50,0.37,0.37,0.51,0.62,0.65,0.39,0.44,0.35,0.39,0.43,0.43,0.53,0.35,0.35,0.35,0.42,0.32,0.37,0.75,0.65,0.75,0.85,0.75,0.65,0.85,0.55,0.70,0.75,0.75,0.75,0.70,0.65,0.75,0.75,,,0.70,0.75,0.75,0.65,0.75,0.75,0.65,0.75,0.70,0.75,0.70,0.75,0.55,,0.55,0.60,0.75,0.65,0.49,,0.60
Sal  *,1 Kilogramos,0.60,0.60,0.62,0.53,0.57,0.55,0.55,0.55,0.55,0.46,0.51,0.55,0.64,0.55,0.51,0.37,0.64,0.64,0.64,0.60,0.64,0.60,0.64,0.64,0.55,0.49,0.44,0.57,0.57,0.55,0.55,0.55,0.51,0.44,0.44,0.49,,,0.49,0.57,0.64,0.51,0.49,0.51,0.57,0.64,0.55,0.64,0.44,0.51,0.49,1.10,1.10,0.99,1.10,1.10,0.88,,0.99,1.10,0.88,0.77,0.88,0.99,0.88,0.77,0.77,,,0.77,0.88,0.77,0.99,0.88,0.88,0.77,0.77,0.99,0.88,0.77,0.77,0.77,1.10,0.77,0.88,0.99,0.99,0.66,0.64,0.77
Salsa de Tomate *,113 Gramos,0.61,0.65,0.69,0.69,0.49,0.47,0.39,0.39,0.34,0.43,0.43,0.39,0.39,0.39,0.33,0.45,0.53,0.39,0.39,0.49,0.35,0.55,0.53,0.35,0.35,0.44,0.43,0.49,0.49,0.35,0.39,0.39,0.45,0.42,0.33,0.51,,0.52,0.44,0.49,0.35,0.44,0.43,0.43,0.49,0.35,0.35,0.35,0.42,0.32,0.42,0.75,0.65,0.75,0.85,0.75,0.65,0.85,0.55,0.70,0.75,0.70,0.75,0.70,0.65,0.75,0.75,,,0.70,,0.75,0.65,0.75,0.75,0.65,0.75,0.70,0.75,0.65,0.75,0.55,,0.50,0.60,0.75,0.65,0.49,,0.60
Soda en envase pl†stico *,1 Litros,1.32,1.30,1.25,1.25,1.45,1.47,1.47,1.47,1.48,1.55,1.55,1.47,1.45,1.47,1.48,1.45,1.47,1.52,1.52,1.50,1.47,1.63,1.47,1.52,1.47,1.50,1.55,1.45,1.45,1.47,1.47,1.47,1.43,1.45,1.48,1.55,,1.25,1.50,1.47,1.52,,,,1.47,,1.25,,1.45,,,1.75,1.65,1.45,1.75,1.65,1.50,1.65,1.60,1.50,1.60,1.50,1.50,1.65,1.65,1.65,1.55,1.50,1.75,1.40,1.35,1.50,1.50,1.50,1.55,1.65,1.50,1.65,1.50,1.50,1.00,1.60,,1.55,1.50,1.50,1.25,1.29,,
Sopa Deshidratada (Pollo y Fideos) *,60 Gramos,0.60,,0.49,0.45,0.65,0.64,0.42,0.44,0.40,0.49,0.43,0.44,0.44,0.44,0.40,0.40,0.50,0.42,0.42,0.70,0.44,0.42,0.50,0.42,0.44,0.42,0.43,0.65,0.45,0.44,0.44,0.44,0.40,0.38,0.38,,0.60,0.64,0.42,0.50,0.44,0.42,,0.49,0.45,0.44,0.44,0.42,0.38,0.37,0.38,0.75,,0.75,0.85,0.75,0.65,0.75,0.65,0.65,0.65,0.65,0.65,0.65,0.75,0.65,0.65,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.75,0.65,0.65,0.65,,,,0.75,,0.45,0.45,0.65
Te Negro *,36 Gramos,0.91,0.85,0.97,0.97,0.95,0.99,0.99,0.99,0.83,0.95,0.99,0.99,0.99,0.99,0.87,0.87,0.84,0.99,0.99,0.95,0.99,0.91,0.84,0.99,0.99,0.93,0.87,0.95,0.84,0.99,0.99,0.99,0.88,0.91,0.85,0.93,0.93,0.93,0.98,0.84,0.99,0.98,0.92,0.92,0.95,0.99,0.99,0.99,0.90,0.88,0.90,1.25,1.00,,1.50,,,,1.25,,,,,,,,,,,,,,,,,1.50,1.00,,,,,0.90,,1.00,1.00,,1.25,1.03,1.05,1.25
