Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 RICARDO J. ALFARO,XTRA RICARDO J. ALFARO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL FUERTE TOCUMEN,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,MINISUPER CD,FRUTER÷A  MIMI,EL CANGREJO VIA ARGENTINA,MINI MARKET ONLY,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMµ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABARROTER÷A BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES,
Aceite Vegetal Nacional *,"1,42 Litros",4.46,3.25,4.22,4.22,3.25,3.39,2.89,2.89,2.88,3.89,3.51,3.39,3.55,3.39,2.87,2.87,3.25,3.39,3.39,3.25,3.39,4.06,3.55,3.39,3.39,3.99,3.49,3.65,3.25,3.39,2.89,2.89,2.87,2.88,3.33,3.19,,3.39,4.01,3.25,3.39,3.99,3.59,3.59,3.89,3.99,3.99,3.99,2.87,2.81,2.81,,,,,,,,,4.41,4.40,,,,,,,,,,,,,5.95,,4.95,,,,,,,4.25,4.50,4.00,,4.45,3.25,4.65,
Margarina en barra*,1 Kilogramos,3.13,3.28,3.42,3.37,3.28,3.06,3.06,3.06,3.24,3.28,3.20,3.11,3.06,3.11,3.28,3.28,3.22,3.06,3.06,3.15,3.06,2.93,3.28,3.06,3.06,3.20,3.20,3.15,2.93,3.06,3.06,3.06,3.02,3.02,3.17,3.20,,3.28,3.22,3.04,3.06,3.22,3.06,,3.04,3.06,3.11,3.06,3.00,2.93,3.00,,,,,,,,,,5.29,4.41,4.41,,,,,4.41,4.41,4.41,,4.41,4.41,,4.41,4.41,,4.42,,,4.08,,,,,,,3.08,3.20,
Leche en Polvo entera instant†nea *,360 Gramos,3.76,3.55,3.76,3.76,3.31,3.29,2.35,2.35,3.30,3.25,3.29,3.55,2.35,3.29,2.93,2.93,3.31,3.29,3.29,3.29,3.29,3.76,3.32,3.29,,3.27,3.29,3.55,3.75,3.29,2.35,3.29,3.29,3.25,2.96,3.29,3.29,3.29,2.98,3.31,3.29,3.27,3.29,3.29,3.31,3.29,3.29,3.75,2.96,2.90,2.96,,,,,3.76,,,,3.76,,3.76,3.75,,,3.76,,,,3.76,,,,3.76,3.76,3.76,3.65,,,,3.75,,3.76,,,3.75,3.25,3.69,3.76,
Leche Evaporada *,167 Gramos,0.55,0.55,0.53,0.53,0.51,,0.50,0.50,0.47,0.47,0.42,0.50,0.50,0.50,0.50,0.50,0.55,0.50,0.50,0.50,0.50,0.53,0.55,0.50,0.50,0.47,0.42,0.55,0.55,0.50,0.50,0.50,0.48,0.66,0.40,0.46,0.60,0.50,0.69,0.68,0.68,0.50,0.47,0.47,0.55,0.50,0.50,0.50,0.45,0.47,0.45,0.89,0.75,0.90,0.85,0.75,,0.85,0.75,0.75,0.75,0.75,0.75,,0.80,0.75,,0.75,0.70,0.75,0.75,,0.65,0.60,0.60,0.60,0.65,0.75,0.75,0.75,,0.85,0.75,0.75,0.75,0.75,0.55,0.49,0.60,
Leche Fresca y Pasteurizada *,946 Mililitros,1.55,1.49,1.49,1.49,1.45,1.40,1.40,1.40,1.38,1.35,1.32,1.40,1.40,1.40,1.25,1.27,1.46,1.40,1.40,1.50,1.40,1.55,1.45,1.40,1.40,1.40,1.45,1.45,1.46,1.40,1.40,1.40,1.39,1.38,1.43,1.29,1.49,1.29,1.40,1.42,1.35,1.40,1.35,1.35,1.46,1.40,1.40,1.35,1.43,,1.33,1.95,,1.75,1.75,1.75,1.50,1.35,1.60,1.60,1.65,1.65,1.65,,1.65,1.65,,1.50,1.60,1.60,1.50,1.60,1.40,1.50,1.50,1.55,1.50,1.55,,1.50,1.65,1.75,1.50,1.50,1.50,1.35,1.47,1.45,1.55,
Queso Amarillo *,1 Kilogramos,6.61,6.61,6.61,6.61,6.61,6.21,6.21,6.21,6.59,6.60,,6.21,,5.99,6.59,6.59,,6.21,6.21,6.21,6.21,6.61,,6.61,6.21,6.59,6.61,6.61,6.61,6.21,6.21,6.21,6.19,6.19,6.19,,,6.21,6.59,6.61,6.61,6.59,6.61,6.60,,6.61,6.21,6.21,6.58,,6.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.61,,
Queso Blanco Prensado Bajo en Sal *,1 Kilogramos,12.67,11.69,12.48,14.30,16.00,11.99,11.99,11.99,11.97,,11.75,11.79,,,,11.47,,11.75,11.95,11.75,11.75,11.30,11.69,11.99,11.75,11.31,11.75,,,11.49,11.99,11.75,11.67,10.96,11.10,9.49,,11.75,14.33,15.28,,14.33,15.25,11.75,15.28,14.99,14.99,11.75,11.95,,14.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huevos Medianos de Gallina *,1 Docena,1.89,2.00,1.87,1.87,1.85,1.98,2.05,2.05,1.62,2.05,1.98,1.98,1.98,1.98,1.83,1.91,1.89,1.98,1.98,1.85,1.98,1.89,1.85,1.98,1.98,1.95,1.95,1.85,1.85,1.98,2.05,2.05,1.80,1.94,1.91,2.15,2.19,2.05,1.95,1.95,2.05,1.95,2.05,2.05,1.90,1.87,2.05,2.05,1.82,1.91,1.93,,,,,,,,,2.25,2.40,,2.40,,,,,2.40,2.40,,,,,,,2.40,,,,,,,1.95,,,,1.87,,,
Az£car Morena *,1 Kilogramos,1.65,1.33,1.35,1.45,1.28,1.40,1.33,1.23,1.43,1.50,1.50,1.55,1.33,1.40,,1.43,1.28,,1.30,1.33,,1.58,1.50,1.33,1.50,1.35,1.37,1.28,1.28,1.23,1.23,1.23,1.45,1.50,1.43,1.37,1.37,1.40,,,,,,,,,,,1.41,1.39,,,,,,1.88,,1.88,,1.88,1.88,1.88,,1.88,,1.88,,1.63,1.75,1.75,1.75,1.65,1.63,,,1.63,1.88,1.88,1.75,1.63,1.50,1.75,,,,,,,,
CafÇ Molido Tradicional *,425 Gramos,5.71,4.75,3.65,4.75,4.45,4.75,4.75,4.75,4.20,4.75,2.94,3.45,,4.75,4.20,2.79,5.35,3.45,3.45,4.75,4.75,,4.75,4.75,4.75,2.91,4.75,5.35,4.45,3.45,3.45,3.45,4.20,2.77,4.20,4.75,5.01,4.75,2.79,4.45,2.81,2.79,2.94,4.75,4.75,2.81,2.81,4.75,2.77,2.83,4.89,5.95,5.75,5.90,,,,,,5.25,,5.50,,6.50,,,,,5.60,,,,,5.75,5.25,5.00,,,,,4.95,,4.50,,5.35,5.95,3.45,2.99,4.55,
Jugo de Naranja *,946 Mililitros,1.15,0.97,1.35,1.35,1.15,1.25,1.25,1.25,1.12,1.19,1.19,1.25,1.19,1.19,1.12,1.12,,1.25,1.25,1.19,1.25,1.23,1.19,1.25,1.19,1.22,1.19,1.19,1.17,1.25,1.25,1.25,1.17,1.20,1.17,1.19,1.19,1.19,1.22,1.17,1.19,1.22,1.19,1.19,,1.15,1.25,1.25,1.12,,1.12,,1.45,,1.50,1.35,1.35,,1.35,,1.25,1.35,1.35,1.35,1.35,1.25,,1.25,1.35,1.25,1.25,1.25,1.25,1.35,1.25,1.35,1.35,1.45,1.25,1.25,1.25,,1.35,1.35,1.35,,1.29,1.29,1.35,
Mayonesa *,15 Onzas,2.40,2.00,2.55,2.55,2.00,2.49,2.79,2.49,2.47,2.49,2.48,2.49,2.49,2.49,2.47,2.47,2.45,2.49,2.49,2.00,2.49,2.45,2.00,2.49,2.49,2.49,2.45,2.45,2.00,2.49,2.49,2.49,2.17,2.47,2.46,2.49,,2.25,2.99,2.45,2.49,,,,,1.59,1.75,1.59,,,,2.95,2.75,,,2.50,2.75,,,,,,,,,,,,,,2.50,,,,,2.50,,,2.50,2.58,,,2.50,2.65,2.65,2.95,2.59,2.09,1.99,
Pasta de Tomate *,113 Gramos,0.50,0.55,0.59,0.59,0.44,0.52,0.32,0.45,0.34,0.43,0.46,0.39,0.39,0.35,0.33,0.33,0.65,0.39,0.39,0.66,0.35,,0.40,0.39,0.35,0.39,0.43,0.50,0.44,0.39,0.39,0.39,0.63,0.37,0.37,0.54,,0.45,0.39,0.44,0.35,0.39,0.49,0.43,0.53,0.35,0.39,0.35,0.35,,0.32,,,,,0.75,0.75,0.85,0.75,,0.75,0.75,0.75,0.75,0.75,,0.75,0.75,0.75,0.70,0.75,,,0.75,,0.75,0.75,,,,,,0.65,0.60,0.75,0.65,0.49,0.45,0.60,
Sal  *,1 Kilogramos,0.62,0.55,0.55,0.55,0.55,0.64,0.86,0.86,0.60,0.49,0.55,0.55,0.64,0.64,0.46,0.62,0.55,0.55,0.64,0.55,0.55,0.60,0.55,0.51,0.55,0.44,0.49,0.60,0.55,0.64,0.64,0.55,0.51,0.44,0.44,0.53,0.60,0.55,0.51,0.55,0.64,0.49,0.51,0.49,0.55,0.64,0.55,0.55,0.51,0.46,0.46,0.99,0.99,0.88,1.10,0.99,0.88,1.10,0.99,1.10,0.88,0.88,0.88,0.99,0.88,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.88,0.88,0.77,0.77,,,0.77,,0.77,1.10,0.77,0.88,0.99,0.99,0.77,0.55,0.77,
Salsa de Tomate *,113 Gramos,0.62,0.55,0.69,0.69,0.59,0.52,0.47,0.39,0.33,0.43,0.56,0.39,0.39,0.39,0.47,0.33,0.53,0.39,0.39,0.65,0.35,,0.65,0.39,0.35,0.44,0.43,0.68,0.62,0.39,0.39,0.39,0.33,0.42,0.37,0.43,0.59,0.39,0.44,0.47,0.35,0.39,0.49,0.43,0.53,0.35,0.39,0.35,0.35,,0.32,,0.75,0.65,,0.75,,0.85,0.65,,0.75,0.75,,0.70,,,0.75,0.65,0.75,0.60,0.75,,,0.75,,0.75,0.70,,0.66,0.60,,0.75,0.50,0.60,0.75,0.65,0.79,0.45,0.60,
Soda en envase pl†stico *,1 Litros,1.31,1.50,1.35,1.62,1.30,1.25,1.25,1.25,1.45,1.25,1.50,1.15,1.25,1.25,1.24,1.23,1.25,1.25,1.25,1.10,1.25,1.33,1.15,1.25,1.15,0.85,1.25,1.15,1.30,1.25,0.75,1.25,1.23,0.81,1.13,1.25,1.20,1.25,0.85,1.47,1.52,,,,1.47,1.52,1.25,,1.45,,,,1.75,1.50,,1.65,1.50,1.50,1.35,1.50,1.60,1.50,1.50,1.65,1.65,1.75,1.50,1.50,1.50,1.25,1.35,1.35,1.25,1.55,1.50,1.25,1.50,1.50,,,1.25,1.50,1.50,1.50,1.55,1.25,1.29,,1.35,
Sopa Deshidratada (Pollo y Fideos) *,60 Gramos,0.50,0.48,0.49,0.45,0.50,0.49,0.42,0.44,0.47,0.49,0.60,0.64,0.42,0.47,0.48,0.48,0.50,0.42,0.44,0.65,0.44,0.60,0.70,0.44,0.65,0.46,0.49,0.65,0.50,0.64,0.44,0.42,0.42,0.38,0.33,,0.60,0.46,0.40,0.50,0.42,0.40,0.40,,0.45,0.42,0.42,0.42,0.38,0.37,0.38,0.75,0.75,,0.85,0.75,0.65,0.75,0.65,0.65,0.65,0.65,0.65,0.65,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.60,0.65,0.65,0.65,0.65,,,0.65,0.65,0.75,,,,,0.45,0.45,0.65,
Te Negro *,36 Gramos,0.91,0.85,0.95,0.97,0.95,0.99,0.99,0.99,0.83,0.95,0.97,0.99,,0.99,0.87,0.87,0.84,0.99,0.99,0.95,0.99,0.98,0.95,0.99,0.99,0.93,0.87,0.84,0.84,0.99,0.99,0.99,0.82,0.91,0.91,0.93,0.93,0.93,0.98,0.84,0.99,0.93,0.92,0.94,0.84,0.99,0.99,0.99,0.90,0.88,0.90,,,1.00,1.50,,,,,,,,,,,,,,,,,,,,1.50,1.25,,,,,,,1.00,1.00,1.25,1.25,1.05,1.05,1.25,
FUENTE:  ACODECO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
